,Ethnicity information value,Tatoos information value,Neck Accessories information value,Head Accessories information value,Hair information value,Color Eyes information value,Clothes information value,Body Accessories information value,Earings information value,Nose Accessories information value,Trait count information value,Unique Trait count,Token Id,Rarity score
1489,2.0012991401516236,2.7242526439451056,5.23500005202725,1.8368723312584894,4.095275288360638,0.4935330656261038,5.8888244108932115,6.030180260138753,0.45586500361710486,0.1024022980564106,2.0012991401516236,0,1489,0.4741913264520801
1490,2.0012991401516236,2.7242526439451056,6.658211482751795,5.625790005059417,5.86025525869644,0.4935330656261038,6.019611018428566,4.043501638636586,0.45586500361710486,0.1024022980564106,2.0012991401516236,0,1490,0.5528711307992443
1491,2.0006494238421113,3.116234906996284,5.525186064121011,5.786726223274475,4.003900935339904,0.4935330656261038,5.140363177889176,4.809304071249684,0.45586500361710486,0.1024022980564106,1.0016241080639985,0,1491,0.49832716010657657
1492,2.0006494238421113,2.5736446512545506,4.455865003617105,4.272153050444717,4.346153631888494,0.4935330656261038,5.927818542509074,4.247278381805687,0.45586500361710486,0.1024022980564106,1.0016241080639985,0,1492,0.4590150107556729
1493,2.002599451227382,1.371968777386958,7.502933257273884,1.8368723312584894,4.629803067566041,0.4935330656261038,6.532680600667936,5.140363177889176,7.009118644610923,0.1024022980564106,1.0016241080639985,0,1493,0.5780346662833219
1494,2.002599451227382,2.7242526439451056,5.25966210626152,7.908189735760142,4.189865139306749,0.4935330656261038,7.625790005059417,5.777793098504468,4.4523071842039155,0.1024022980564106,1.0016241080639985,0,1494,0.6381692390940523
1495,2.0006494238421113,3.8673446834827594,4.195802164314602,4.922886246966844,4.438163001883646,4.287920366303034,7.691378346686994,5.5707486415014555,0.45586500361710486,0.1024022980564106,1.0016241080639985,0,1495,0.5920290532563985
1496,2.0006494238421113,3.8673446834827594,4.477398165166746,4.809304071249684,5.850856560694191,0.4935330656261038,6.473786911614368,1.5852871761002443,4.054248020100583,0.1024022980564106,1.9954622001293396,0,1496,0.5486346753241835
1497,2.0006494238421113,2.5736446512545506,4.499257599130486,1.8368723312584894,4.658211482751795,0.4935330656261038,6.641909670422694,1.5852871761002443,0.45586500361710486,0.1024022980564106,1.9954622001293396,0,1497,0.41240381531645853
1498,2.0012991401516236,2.5736446512545506,5.768914947158015,5.123289664530234,3.9961095840490604,0.4935330656261038,5.8888244108932115,3.71037533714436,0.45586500361710486,0.1024022980564106,2.0012991401516236,0,1498,0.4934072761034516
1499,2.0006494238421113,3.8673446834827594,4.499257599130486,1.8368723312584894,6.742603670042167,6.4033975837229695,6.117643101389092,1.5852871761002443,4.054248020100583,0.1024022980564106,1.9954622001293396,0,1499,0.6023284929782141
1500,2.0006494238421113,2.7242526439451056,5.192830597783312,4.009118644610923,4.869715587945507,0.4935330656261038,5.716763665106908,5.272153050444717,0.45586500361710486,0.1024022980564106,1.9954622001293396,0,1500,0.5044258064036157
1501,2.0012991401516236,1.371968777386958,8.030180260138753,4.525186064121011,4.459431618637297,0.4935330656261038,7.445217759417596,3.71037533714436,0.45586500361710486,0.1024022980564106,2.0012991401516236,0,1501,0.5315272043074659
1502,2.0006494238421113,5.804760146104736,1.5177302592019644,6.163446791002217,4.869715587945507,0.4935330656261038,6.117643101389092,1.5852871761002443,4.054248020100583,0.1024022980564106,1.9954622001293396,0,1502,0.533188299564752
1503,2.0006494238421113,1.371968777386958,5.525186064121011,1.8368723312584894,4.300659478133711,0.4935330656261038,5.445217759417596,4.247278381805687,0.45586500361710486,0.1024022980564106,1.0016241080639985,0,1503,0.4114537641325696
1504,2.0006494238421113,3.8673446834827594,4.195802164314602,1.8368723312584894,4.300659478133711,4.8555482560189125,5.96789598188441,4.247278381805687,0.45586500361710486,0.1024022980564106,1.0016241080639985,0,1504,0.5044134530666948
1505,2.0012991401516236,2.5736446512545506,4.613817363393341,4.590166095328696,3.9961095840490604,0.4935330656261038,6.23500005202725,3.71037533714436,0.45586500361710486,0.1024022980564106,2.0012991401516236,0,1505,0.47278876354278637
1506,2.002599451227382,1.371968777386958,1.5177302592019644,5.716763665106908,4.291094614098177,0.4935330656261038,6.297464138973904,4.993521789559904,4.4523071842039155,0.1024022980564106,1.0016241080639985,0,1506,0.495334659235962
1507,2.0012991401516236,2.5736446512545506,5.117643101389092,1.8368723312584894,5.86025525869644,0.4935330656261038,6.4033975837229695,1.5852871761002443,0.45586500361710486,0.1024022980564106,2.0012991401516236,0,1507,0.4368072535003769
