,Skin Tone,Outfit,Nose,Mouth,Hand,Hair Front,Hair Color,Hair Back,Eyes,Eyebrows,Eye Color,Clip Accessory,Background,Weapon,Head Accessory,Face Accessory,Appendage,Skin Marking,Ears,Legendary,Rarity score,Token Id
117,Warm,Sweater Vest,Base,Egg Toast,None,Wavy Parted,Orange,Wide Wavy Long,Round,Neutral,Brown,None,Yellow Blue,None,Top Hat,None,None,None,None,None,13.541580314626698,117
118,Neutral,Magical Girl,Base,Shouting,None,Layered Long,Scarlet,Wavy Long,Down Turned,Neutral,Brown,Lilac Bow-Tie,Yellow,Red Gold Katana,None,Nose Piercing,Cat Tail,None,None,None,43.11813930599222,118
119,Neutral,Novice Adventurer,Base,Laugh,None,Feathered Fringe,Caramel,Wavy Long,Upturned,Neutral,Brown,None,Gray Yellow,Long Sword,None,None,None,None,None,None,12.914148971596045,119
120,Tan,White Tank Top,Base,Slightly Open,None,Bedhead,Raven,Pig Tails,Upturned Wink,Neutral,Black,None,Green Yellow,None,None,None,None,None,None,None,7.949437342774476,120
121,Neutral,White T-Shirt,Base,Happy,None,Peek-A-Bang,Ash,Straight with Ribbon,Hooded,Neutral,Green,None,Purple,None,Pointed Bow,None,None,Beauty Mark Left Cheek,None,None,19.11517839104812,121
122,Dark,Royal,Base,Shouting,None,Short Messy,Raven,Wide Long,Almond,Neutral,Gray,None,Purple,None,Dragon,None,None,None,None,None,13.327031372965124,122
123,Neutral,White Hoodie,Base,Happy,None,Short Braid,Emerald,Wide Pig Tails,Upturned Wink,Neutral,Black,Strawberry,Purple,None,None,None,None,None,None,None,8.378601731818435,123
124,Dark,Kumo T-Shirt,Base,Blackcurrent Jam Toast,Peace,Choppy Hime,Caramel,Messy Long,Pointy,Neutral,Black,Capsule Error,Purple,None,Cat Ears,Circle Glasses,Cat Tail,None,None,None,56.60320580618181,124
125,Neutral,Heart Hoodie,Base,Eyetooth,None,Short Parted,Raven,Pig Tails,Pointy,Neutral,Blue,None,Orange Yellow,None,Santa Hat,None,None,None,None,None,5.676450646866732,125
126,Neutral,Maid,Base,Eyetooth,Phone,Short Messy,Light Blonde,Wide Long,Round,Neutral,Red,Three Stars,Blue Red,Long Sword,White Fox Mask,Rose,Angel Wings,Beauty Mark Kin,Elf,None,89.8825195876144,126
127,Warm,Maiden,Base,Hair Band,None,Hime,Sky Blue,Round Bob,Upturned Wink,Neutral,Red,None,Green Yellow,None,Black Fox Mask,Circle Glasses,None,None,None,None,20.257023420755047,127
128,Dark,Royal,Base,Shouting,None,Wavy Parted,Bubblegum,Voluminous Medium,Upturned,Neutral,Green,None,Green Yellow,None,None,None,None,None,None,None,8.091998424276667,128
129,Neutral,Blackbird,Base,Cat,None,Messy Fringe,Lime,Short,Almond,Neutral,Blue,Gold Flower,Yellow Purple,None,None,None,None,None,None,None,8.489667186380942,129
