,Bottle,Liquid,Tassels,Logo,Hoody,Outline,Background,Teeth,Eyes,Headgear,Mask,Rarity score,Token Id
6169,Hopium Toxic,Rose Champagne,White,Flammable Crimson,Plain Aquamarine,Violet,Black,None,None,None,None,16.01894588499874,6169
6170,Caution Aquamarine,Cabernet Sauvignon,White,Biohazard VIolet,Light Stripes Cantaloupe,Aquamarine,Stripes Crimson,None,None,None,None,22.172172337038283,6170
6171,Caution Aquamarine,Watermelon Juice,White,gm Crimson,Dark Hatch Toxic,Diamond,Stripes Cantaloupe,None,None,None,None,25.108176654148867,6171
6172,Radioactive Crimson,Blood,Black,High Voltage Aquamarine,Plain Cantaloupe,Acid Violet,Black,None,Beady Toxic,None,None,39.8926326104014,6172
6173,WAGMI Aquamarine,Lemonade,Black,rekt Cantaloupe,Dark Stripes Violet,Aquamarine,Black,None,None,None,None,14.778013221873204,6173
6174,WAGMI Cantaloupe,Water,Black,High Voltage Crimson,Dark Stripes Crimson,Violet,Strobes Aquamarine,None,Rose Tinted Glasses,None,None,44.385580576160706,6174
6175,Flammable Crimson,Water,Black,Radioactive White,Plain Violet,Cantaloupe,Strobes Violet,None,None,None,None,20.817693184538413,6175
6176,Flammable Violet,Purple Grape Juice,Black,None,Light Hatch Cantaloupe,Crimson,Stripes Aquamarine,None,None,None,None,15.00512218076349,6176
6177,Hopium Violet,Limeade,Black,gm Toxic,Plain Cantaloupe,Violet,Toxic,None,None,None,None,22.442542316392107,6177
6178,WAGMI Violet,Purple Grape Juice,White,None,Poly Crimson,Aquamarine,Black,None,None,rekt Beanie Cantaloupe,None,33.604356753247316,6178
6179,Flammable Aquamarine,Lemonade,Black,None,Light Hatch Violet,Glow Crimson,Black,None,None,None,None,9.957513959540364,6179
6180,Flammable Aquamarine,Purple Grape Juice,White,None,Dark Hatch Violet,Cantaloupe,Violet,None,None,Earphones Crimson,None,40.0951487509526,6180
6181,Biohazard Aquamarine,Rose Champagne,Tied White,Caution Crimson,Dark Hatch Aquamarine,Spikes Aquamarine,Accents Aquamarine,None,None,None,None,34.04024640596601,6181
6182,Biohazard Aquamarine,Watermelon Juice,White,rekt Cantaloupe,Dark Hatch Aquamarine,Glow Violet,Strobes Cantaloupe,None,None,None,None,26.01383230570013,6182
6183,WAGMI Aquamarine,Limeade,White,Radioactive Violet,Plain Toxic,Violet,Black,None,None,None,None,15.537720989579231,6183
6184,Radioactive Aquamarine,Lemonade,Tied White,None,Poly Violet,Glow Aquamarine,Stripes Cantaloupe,None,None,None,None,25.024280885586187,6184
6185,WAGMI Violet,Passion Fruit Juice,Black,None,Dark Hatch Aquamarine,Acid Crimson,Black,None,Beady White,None,None,34.52914886402548,6185
6186,Radioactive Violet,Champagne,White,Caution Violet,Plain Toxic,Crimson,Stripes Aquamarine,None,X Crimson,None,None,44.70723769927206,6186
6187,Clear,Champagne,Black,gm Toxic,Bolts Violet,Spikes Aquamarine,Toxic,None,None,None,Wojak,48.853700528089604,6187
6188,Biohazard Toxic,Cola,Tied Black,None,Light Hatch Toxic,Aquamarine,Black,None,None,None,None,18.406095138102067,6188
6189,Clear,Sauvignon Blanc,Tied Black,High Voltage Violet,Bolts Toxic,Acid Aquamarine,Accents Aquamarine,None,None,None,None,26.340855567120368,6189
6190,Paper Bag Cantaloupe,Champagne,Tied White,None,Dark Shoulders Cantaloupe,Cantaloupe,Fuzz Crimson,None,None,None,None,25.33248281824882,6190
6191,Clear,Lemonade,White,Caution Aquamarine,Dark Stripes Toxic,Spikes Violet,Black,None,None,None,None,10.349542829660933,6191
6192,WAGMI Cantaloupe,Rose Champagne,Tied White,High Voltage Crimson,Light Hatch Cantaloupe,Crimson,Black,None,None,None,None,25.37842126263191,6192
6193,Radioactive Violet,Sparkling Water,White,Radioactive Black,Cyberskelly Crimson,Spikes Violet,Accents Violet,None,None,None,None,24.42957710987131,6193
6194,Flammable Crimson,Water,Black,rekt Toxic,Plain White,Acid Violet,Stripes Violet,None,None,None,None,22.54524884305509,6194
6195,Radioactive Crimson,Watermelon Juice,Black,Flammable Toxic,Dark Shoulders Cantaloupe,Toxic Waste,Stripes Toxic,None,None,None,None,25.078442594097893,6195
6196,Radioactive Aquamarine,Purple Grape Juice,Black,Radioactive Crimson,Plain Black,Violet,Black,None,None,None,None,13.73442620527685,6196
6197,Hopium Crimson,Watermelon Juice,Black,Radioactive Crimson,Plain Toxic,Acid Cantaloupe,Black,None,None,None,None,18.298039430326124,6197
6198,Clear,Toxic Waste,Tied Black,None,Poly Violet,White,Stripes Crimson,None,None,None,None,18.58184615981704,6198
6199,Biohazard Aquamarine,Lemonade,Black,Caution Cantaloupe,Bolts Aquamarine,Spikes Cantaloupe,Black,None,None,None,None,15.894584504589579,6199
6200,WAGMI Aquamarine,Champagne,Tied White,Caution Crimson,Light Stripes Violet,Aquamarine,Candles Inverted,None,None,None,None,32.191121837887216,6200
6201,Flammable Aquamarine,Orange Soda,White,Biohazard Aquamarine,Dark Shoulders Aquamarine,Silver,Bolts Cantaloupe,None,None,None,None,25.897572999327632,6201
6202,Biohazard Cantaloupe,Sauvignon Blanc,Tied Black,69 Violet,Light Stripes Cantaloupe,Toxic,Stripes Toxic,None,None,None,None,31.355730511681372,6202
6203,WAGMI Aquamarine,Limeade,White,Biohazard Black,Light Hatch Crimson,Aquamarine,Fuzz Aquamarine,None,None,None,None,22.26137696981022,6203
6204,Caution Violet,Blood,White,None,Dark Hatch Aquamarine,Toxic Waste,Fuzz Cantaloupe,None,None,None,None,19.6444221666576,6204
6205,Flammable Violet,Purple Grape Juice,Black,69 Violet,Dark Stripes Aquamarine,Aquamarine,Strobes Toxic,None,None,Headphones Violet,None,47.229235571561006,6205
6206,Radioactive Crimson,Sauvignon Blanc,Black,High Voltage Aquamarine,Dark Shoulders Cantaloupe,Acid Cantaloupe,Black,None,None,None,None,16.50829644780769,6206
6207,None,Serum,Tied White,None,Light Stripes Crimson,White,Accents Aquamarine,None,Beady Aquamarine,None,None,49.35147561216679,6207
