,Zipper,Sweatshirt,Neck,Hood,Head,Eyelets,Element,Drawstring,Background,Mask,Tie,Shirt,Lapels,Jacket,New Dawn,Pin,Raised Hood,Vest,Button,Masked Head,Parka,Parka Hood,Zero Hour,Clothing,Type,Rarity score,Token Id
1750,None,None,Pagan Tiger,None,Midnight Tiger,None,None,None,Clockwork Connection,Organic Antagonist,Midnight Black,Psilocybin Blue Matrix XL,Golden Trinity,Midnight Cross,None,None,None,None,None,None,None,None,None,None,None,39.900948188752174,1751
1751,Lunar Trinity,Lunar Parallel,Midnight Tiger,Pagan Earth Splatter XL,Blood Red Nexus,Celestial Red,None,Aurora Reverie,Deep Earth,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,37.344142277210004,1752
1752,Acid Yellow,Copper Trinity XL,Argon Neon Mycelium,Scratched Lunar Grey,Amethyst Mute,Celestial Argon,Lunar Epiphany,Nebula Sunset,Midnight,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,45.32044395359501,1753
1753,None,None,Argon Neon Mycelium,None,Argon Neon Mycelium,None,None,None,Deep Earth,Holographic Revolt XL,Primal Liquid,Bone White Connection,Dark Silver,Argon Pink Mycelium,None,None,None,None,None,None,None,None,None,None,None,37.215860347220065,1754
1754,Golden Silence,Lunar Trinity XL,Argon Neon Cross,Lunar Grey Ashes,We Are The Night,Lunar Rising,Golden Atrophy,Muted Mint Imprint,Deep Earth,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,42.94627298205474,1755
1755,Lunar Cross,Liquid Jungle Camo XL,Serpent Nexus,Liquid Jungle Camo XL,Purple Haze Mute,Golden Halo,None,Pagan Earth Imprint,Hazed Horizon,Pale Pink Gas Mask,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,48.73201047607682,1756
1756,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,1757
1757,Bone White,Bone White Splatter XL,Midnight,Dark Green Forest,Purple Neon Cross,Jade Destiny,Fallen Gold Reflected,Hollow Copper Trinity,Deep Earth,Laced Lunar Haze Conception,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,51.01490332537391,1758
1758,None,None,Pagan Mycelium,None,Moonlight Screenshot,None,Lunar Epiphany,None,Moonlight Forest,None,Crystal Orchid Primal Liquid,Midnight Black,Lunar Faction,Dark Silver,None,None,None,None,None,None,None,None,None,None,None,36.07955826546494,1759
1759,None,None,Blood Red Cross,None,Blood Red Cross,None,None,None,Crimson Destiny,Snow Camo Antlers,Blood Red Mycelium,Blood Red Connection XL,Sanguine Tessellation,Sanguine Tessellation,None,None,None,None,None,None,None,None,None,None,None,40.45478988075391,1760
1760,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,1761
1761,Lunar Cross,Lunar Grey Nightfall,Midnight Sky,Infinite Ice Splatter XL,None,Pagan Dust,None,Pale Green Imprint,Midnight,Radiant Interrelation,None,None,None,None,None,None,None,None,None,Reptillian Tiger,None,None,None,None,None,62.06054928136694,1762
1762,Copper Magic,Scratched Copper,Psilocybin Neon Cross,Bone White Ink,Purple Haze Mute,Golden Silence,None,Golden Silence,Deep Earth,Machine Hologram Array,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,46.00308614311907,1763
1763,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,1764
1764,None,None,Midnight Sky,None,Pagan Tiger,None,None,None,Lunar Existence,Golden Argon Gas Mask,Midnight Black,Midnight Black,Crystal Orchid Mycelium,Bone White,None,None,None,None,None,None,None,None,None,None,None,37.107764452776735,1765
1765,Copper Quietude,Psilocybin Blue Splatter,Midnight Sky,Lunar Trinity XL,Moonlight Dream,Silver Serenade,None,Celestial Red,Midnight Formation,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,40.07142808187416,1766
1766,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,1767
1767,None,None,Pagan Mycelium,None,None,None,Fallen Lunar Duality,None,Zero Hour Unity,Xenon Vision,Pale Green Primal Liquid,Lunar Grey Matrix,Psilocybin Blue Primal Liquid,Golden Tiger Bone,None,None,None,None,None,Crimson Nexus,None,None,None,None,None,61.26237717028842,1768
1768,Bone White,Muted Mint Splatter XL,Bone White,Lunar Grey Ashes,Moonlight Nexus,Golden Silence,Golden Collapse,Pale Green Imprint,Midnight Emergence,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,46.1176368298467,1769
1769,Silver Serenade,Copper Cross Network,Blood Red Nexus,Scratched Dark Green,Psilocybin Mute,Golden Silence,Lunar Absolution,Bone White Imprint,Midnight Formation,Crimson Silver Horns,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,55.05819788447383,1770
1770,Copper Axis,Midnight,Lunar Equilibrium,None,Serpent Transparency,Golden Halo,Obsidian Orbs,Blood Red Complexion,Serpent Firestorm,None,None,None,None,None,None,None,Midnight,None,None,None,None,None,None,None,None,56.28624000532646,1771
1771,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,1772
1772,Lunar Network,Evenfall Jungle Camo XL,Midnight,Bone White Forest,Psilocybin Mute,Golden Silence,None,Bone White Imprint,Deep Earth,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,35.82206421119151,1773
1773,None,None,Argon Neon Mycelium,None,None,None,None,None,Lunar Existence,Golden Clockwork,Lunar Diamond Mesh,Crystal Orchid Connection,Pale Green Mycelium,Scratched Copper,None,None,None,None,None,Crystal Orchid Tiger,None,None,None,None,None,54.46643521350272,1774
1774,None,None,Cerulean Nexus,None,Midnight Smile,None,Copper Epiphany,None,Lunar Existence,None,Midnight Mycelium,Pagan Earth Connection XL,Bone White,Midnight Mycelium,None,None,None,None,None,None,None,None,None,None,None,36.74774158110334,1775
1775,None,None,Bone White,None,Purple Haze Mute,None,None,None,Hazed Horizon,Pale Pink Array,Lunar Diamond Mesh,Purple Haze Connection,Midnight Mycelium,Pagan Earth Primal Liquid,None,None,None,None,None,None,None,None,None,None,None,39.08564947964064,1776
1776,Lunar Cross,Purple Haze Nightfall,Serpent Transparency,Bone White Nightfall,Liquid Nexus,Bone White,Copper Epiphany,Lunar Grey Complexion,Deep Earth,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,43.51992813778461,1777
1777,None,None,Psilocybin Neon Cross,None,Purple Haze Neon Nexus,None,Golden Rapture,None,Zero Hour Unity,None,Midnight Black,Psilocybin Blue Connection XL,Midnight Black,Copper Tiger Bone,None,None,None,None,None,None,None,None,None,None,None,36.599940323373694,1778
1778,None,None,Midnight,None,Moonlight Cross,None,Lunar Absolution,None,Deep Earth,None,Scratched Copper Rose,Lunar Grey Connection XL,Lunar Grey Mycelium,Copper Nexus XL,None,None,None,None,None,None,None,None,None,None,None,34.078944272980976,1779
1779,Golden Turbine,Evenfall Jungle Camo,Argon Neon Tiger,Evenfall Jungle Camo,Amethyst Mute Nexus,Celestial Argon,Fallen Gold,Celestial Psilocybin,Golden Clockwork,Machine Hologram Filter,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,56.89339067905278,1780
1780,Pale Pink,Bone White Rain,Argon Neon Tiger,Lunar Grey Nightfall,Golden Signal,Golden Silence,Lunar Collapse,Midnight Black,Jaded Existence,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,46.3470258649909,1781
1781,None,None,Bone White,None,Copper Nexus,None,None,None,Lunar Existence,Crimson Canopy,Dark Green Mycelium,Crystal Orchid Connection XL,Pale Green Mycelium,Dark Green Primal Liquid,None,Silver Magic,None,None,None,None,None,None,None,None,None,55.61350894628444,1782
1782,None,None,Crimson Nexus,None,Machine Sequence,None,Golden Absolution,None,Deep Earth,Midnight Array,Argon Pink Mycelium,Bone White Connection XL,Crystal Orchid Cross,Midnight Black,None,None,None,None,None,None,None,None,None,None,None,42.75954243307557,1783
1783,None,None,Midnight Amethyst Mycelium,None,We Are The Night,None,Lunar Atrophy,None,Midnight,The Golden Advent,Dark Green Mycelium,Blood Red Connection XL,Lunar Grey Mycelium,Bone White,None,None,None,None,None,None,None,None,None,None,None,44.69485005410052,1784
1784,Acid Yellow,Bone White Rain,Reptillian Tiger,Copper Cross,Purple Neon Cross,Celestial Purple,Golden Atrophy,Celestial Red,Deep Earth,Machine Hologram Array,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,52.38588009647105,1785
1785,None,None,Crimson Nexus,None,Amethyst Mute Tiger,None,Lunar Absolution,None,Jaded Existence,Psychedelic Subversion,Argon Pink Cross,Dark Green Connection XL,Bone White,Bone White,None,None,None,None,None,None,None,None,None,None,None,45.21724548102478,1786
