,Body,Accesories,Face,Eyewear,Eyes,Mouth,Head,Role,Fur,Special,Rarity score,Token Id
154,None,Katana,None,Hard Thunder Glasses,Ominous,Smug,Yellow Snapback Hat,Generalist,Brown,None,55.977195329400196,154
155,None,None,None,None,Bullish,Cheeky,None,Field Agent,Brown,None,14.147679251732665,155
156,None,None,None,None,Intoxicated,Happy,Backward Black Snapback Hat,Field Agent,Classic,None,23.110209975248576,156
157,None,None,Covid Mask (Eucalyptus),None,Happy,Smug,None,Black Ops,Tatted (Classic),None,28.712472341530283,157
158,None,ID Badge,None,Hard Thunder Glasses,Angry,Leaf,Blue Snapback Hat,Double Agent,Built (Dark),None,66.19263167133951,158
159,None,None,Tear Tat,Hard Thunder Glasses,Soulless,Cigarette,Yellow Snapback Hat,Generalist,Tatted (Cream),None,41.79494102758294,159
160,None,Silver Chain,Gold Earrings,Round Reading Glasses,Intoxicated,Happy,Pink Snapback Hat,Engineer,Tatted (Brown),None,77.45541716971233,160
161,Punk Jacket,None,Silver Earrings,Round Reading Glasses,Smug,Smoker's Pipe,Top Hat,Operator,Built (Brown),None,67.21750875352251,161
162,None,None,Fake Moustache,Black Sunglasses,Bitcoins,Happy,None,Generalist,Frozen,None,35.71591122681336,162
163,None,None,None,Hard Thunder Glasses,Intoxicated,Angry,None,Generalist,Built (Dark),None,13.724161807862265,163
164,Black Hoodie,None,Covid Mask (Cat Mouth),Hard Thunder Glasses,Smug,Bubble Gum,Halo,Black Ops,Built (Pink),None,65.73623797431175,164
165,None,None,Tear Tat,None,Ominous,Happy,None,Double Agent,Robot,None,30.547570857971046,165
166,None,None,Covid Mask (Cat Mouth),Thug Life Glasses,Angry,Angry,Black Snapback Hat,Black Ops,Classic,None,51.3402208818763,166
167,None,None,None,None,Bullish,Cheeky,None,Generalist,Classic,None,4.097437088774059,167
168,Bomber Jacket,None,None,Hard Thunder Glasses,Ominous,Leaf,Cream Borsalino,Black Ops,Dark,None,49.74545747782302,168
169,Black/White Tracksuit,Silver Chain,Blush,None,Smug,Bored,None,Black Ops,Brown,None,62.38953085564655,169
170,Lab Coat,None,Blush,Red Sunglasses,Intoxicated,Smug,Black Headphones,Engineer,Frozen,None,61.58930183003598,170
171,None,None,None,None,Happy,Bubble Gum,None,Black Ops,Brown,None,15.285709715205225,171
172,None,None,Silver Earrings,Round Reading Glasses,Bored,Bubble Gum,Pink Snapback Hat,Engineer,Classic,None,53.248634916996075,172
173,None,None,None,Round Reading Glasses,Bitcoins,Golden Grills,Yellow Beanie,Black Ops,Tatted (Sandy),None,45.39484532666123,173
174,None,None,None,None,Angry,Dragon Breath,None,Black Ops,Tatted (Classic),None,16.546930813648583,174
175,None,None,Covid Mask (Eucalyptus),Hard Thunder Glasses,Cheeky,Cheeky,None,Field Agent,Brown,None,34.79822413299826,175
176,Pink Dress,Moon Necklace,Diamond Stud,Black Sunglasses,Bored,Smug,King's Crown,Field Agent,Built (Cream),None,100.0,176
177,White Tank,None,Diamond Stud,Hard Thunder Glasses,Angry,Angry,Blue Snapback Hat,Generalist,Tatted (Brown),None,53.899221720901544,177
178,None,None,Tear Tat,None,Happy,Leaf,Black Headphones,Double Agent,Classic,None,35.82924032715548,178
179,Navy Dress,None,Scars,None,Intoxicated,Cigarette,None,Generalist,Tatted (Dark),None,27.578121770896008,179
180,Bomber Jacket,Gold Chain,Fake Moustache,None,Bullish,Leaf,Fireman Helmet,Generalist,Purple,None,72.34121809297288,180
181,None,None,Blush,Round Reading Glasses,Bored,Angry,Cream Borsalino,Engineer,Tatted (Brown),None,51.03663036376827,181
182,Pink Turtleneck,None,Tear Tat,None,Smug,Dragon Breath,None,Generalist,Dark,None,26.260156024719112,182
183,None,None,Covid Mask (Cat Mouth),Hard Thunder Glasses,Cheeky,Cigarette,None,Generalist,Tatted (Shadow),None,27.895027775882998,183
184,Blue Dress,None,Blush,None,Bitcoins,Cheeky,None,Generalist,Classic,None,24.728661364624482,184
185,Summer Dress,None,Gold Earrings,Thug Life Glasses,Happy,Angry,Flower Blue,Black Ops,Built (Brown),None,67.80136754492723,185
186,None,None,None,Red Sunglasses,Angry,Smug,None,Black Ops,Built (Sandy),None,32.13902915735428,186
187,Letterman Jacket,None,Blood Splatter,None,Intoxicated,Leaf,None,Black Ops,Purple,None,37.48425869573526,187
188,None,None,None,None,None,None,Space Suit Helmet,Operator,Tatted (Pink),None,36.182784070572104,188
189,None,None,Gold Ear Piercing,Round Reading Glasses,Bitcoins,Happy,None,Operator,Built (Classic),None,42.84249272158948,189
190,None,None,Covid Mask (Cat Mouth),Black Sunglasses,Intoxicated,Bored,Top Hat,Black Ops,Tatted (Dark),None,55.5040122132877,190
191,None,None,None,None,Smug,Golden Grills,None,Generalist,Purple,None,8.455472773272477,191
192,None,None,None,None,Bullish,Leaf,None,Field Agent,Dark,None,13.31347794510635,192
193,Leopard Blazer,None,Blush,3D Glasses,Bored,Cigarette,Fireman Helmet,Black Ops,Tatted (Dark),None,66.84720957714867,193
