,Antenna,Hats,Faces,Heads,Body,Backgrounds,Rarity score,Token Id
2729,Overgrown,Crew cut brown,White eyes happy,Green pink paint splat,Pink skull tee,Turquoise,38.20288455185697,2729
2730,Bones,Beanie brown,Hmm,Yellow,Hawian shirt,Pale peach,11.657308004468439,2730
2731,White 27,Sock monkey,Quirkie tongue,Light purple,Explorer,Neutral,21.699479919164418,2731
2732,Diamond,Blue graffiti bubbles,Emo,Blueer ,Leather jacket gold chain,Just Green,65.16891593315952,2732
2733,Pierced 2,Pink beanie,Infected,Dr qurkensteins monsta,Tuesday office shirt,Blurple,36.517300385953604,2733
2734,Double green,Sideway cap blue green,Nest beard,Pink,Cherry blossom komono,Dust,30.68856910989968,2734
2735,Orange 1,Wings hat,Nest beard,Purple,Astroquirkie comms,Turquoise,26.194221193544685,2735
2736,Orange 1,Halo,1 eye,Pink,Trash hoodie skateboard,Pale peach,14.60667291409599,2736
2737,Orange 1,Rabbit in a hat,Pink vision,Light purple,Cherry blossom komono,Purple,28.160670485714157,2737
2738,Bubbles,Wizard hat,Cutie,Shiny,Artic parka,The blues,35.32349008667479,2738
2739,Lightning bolts,Crew cut brown,Bubblegum,Blue,Hawian shirt,Dust,20.29505588898376,2739
2740,Double green,Rabbit in a hat,Rainbow face,Blue,Yellow hoodie,Blurple,12.780993322966061,2740
2741,Overgrown,Purple cap,Need coffee,Blue pink paint splats,Artic parka,Pale peach,35.81520776787085,2741
2742,Pierced,Blue surfer,Hmm,Quirk green,Green backpack,The blues,5.055895584856588,2742
2743,Gold ring,Bear hug,Happy lashes,Quirkiebot MK2,Reflective space hoodie,Neutral,25.281163653572804,2743
2744,Red 2,Purple cap,Cutie,Another green,Yellow hoodie,Misty pink,25.2108279658389,2744
2745,Purple 2,Pencil,VR wave,Greeeen,Leather jacket gold chain,Honey melon,24.57912724274614,2745
2746,Pierced,Blone surf hair,Water falls,Blueer ,Blue tee with chain,Dust,19.803492718008343,2746
2747,Pierced 2,Turtle fren,Buttons,Pink,Arrows,Blurple,28.02002721757728,2747
