,Background Color,Chassis Color,Top,Mouth,Ear,Eyes,Head Shape,Body,Arm,Backpack,Robot Type,Helmet,Cyborgo Face,Human Arm,Computo Head,Face,Rarity score,Token Id
117,Powder,Smoke,Bunny Ears,Smile and Fangs,Ring,Hally,Round Bottom,Small Top with Slider Screen,Machine Arm,Battery,Roboto,None,None,None,None,None,4.538024985489974,117
118,Sunflower,Lavander,None,Serious Fang,None,Calm,Boxy Head,Suit,Bicep,Volt,Roboto Helmeto,Astronaut,None,None,None,None,10.558152046907969,118
119,Seafoam,Smoke,Red Antenna,Eating,Chip,Dead Eyes,Boxy Head,Red Hoodie,Torque,Wings,Roboto,None,None,None,None,None,1.4159830479391486,119
120,Strawberry,Slate,Curly,Serious Fang,Bolt,Hearts,Purple Layers,Dress,Round Torque,Katanas,Roboto,None,None,None,None,None,9.810133604788996,120
121,Strawberry,Silver,None,Eating,None,Big Visor,Bottom Stripe,Dress,Compressor,Jetpack,Roboto Helmeto,Dino,None,None,None,None,12.094738403282399,121
122,Blush,Lavander,Pirate Hat,Lips,Rhombus Earring,Eyepatch,Bottom Stripe,Small Top with Slider Screen,Round Torque,Jetpack,Roboto,None,None,None,None,None,4.0258504287244,122
123,Strawberry,Ruby,Monkey,Serious,Teal Flower,Annoyed,Purple Layers,Blush Tee,Machine Arm,Electron Battery,Roboto,None,None,None,None,None,11.50005853221824,123
124,Mustard,Teal,Curly,Tiny Smile,Sonar,Dim,Boxy Head,Soldier Jacket,Cruncher,Saw,Roboto,None,None,None,None,None,2.2708038031056237,124
125,Mint,Silver,Bear Ears,Blue Beard,Bolt,Big Visor,Round Bottom,Tin Body with Drum Pad,Cruncher,Saw,Roboto,None,None,None,None,None,5.575517178697614,125
126,Sunflower,Lavander,Bun,Grill,Bolt,Glam Shades,Round Bottom,Small Top with Indented Buttons,Ribbed,Electron Battery,Roboto,None,None,None,None,None,5.2720495541256085,126
127,Pear,Silver,None,Open Mouth,None,Straight Visor,Boxy Head,Rugged Shirt,Round Shoulder,Katanas,Roboto Helmeto,Astronaut,None,None,None,None,11.106213044546283,127
128,Golden Rod,Silver,Glass,Smile,Red Flower,Kurts,Boxy Head,Small Top with Slider Screen,Bicep,Battery,Roboto,None,None,None,None,None,2.6589122417742588,128
129,Sunflower,Ruby,Bear Ears,Grill,Lightbolt Earring,Sleepy,Round Bottom,Red Shirt,Torque,Electron Battery,Roboto,None,None,None,None,None,3.3439523299378866,129
130,Mustard,Copper,Bun,Serious,Rhombus Earring,Dead Eyes,Round Bottom,Zapata,Round Shoulder,Volt,Roboto,None,None,None,None,None,5.376513987508992,130
131,Sunflower,Lavander,Big Horns,Smile and Fangs,Red Flower,Thug Life,Purple Layers,Blue Hoodie,Machine Arm,Saw,Roboto,None,None,None,None,None,9.412093608228412,131
132,Powder,Copper,None,Grin,None,Eager Eyes,Purple Layers,Blue Hoodie,Machine Arm,Katanas,Roboto Helmeto,Astronaut,None,None,None,None,19.506689131776863,132
133,Mustard,Lavander,None,Smile,None,Straight Visor,Boxy Head,Red Hoodie,Round Shoulder,Battery,Roboto Helmeto,Mouse,None,None,None,None,9.850203755748147,133
134,Digital Blue,Smoke,None,Grin,None,Calm,Round Bottom,Blue Hoodie,Torque,Wings,Roboto Helmeto,Mullet,None,None,None,None,12.721068731064014,134
135,Powder,Copper,Bulbs,Serious,Ancient Sonar,Annoyed,Round Bottom,Red Hoodie,Machine Arm,Saw,Roboto,None,None,None,None,None,4.678424815961556,135
136,Golden Rod,Slate,Seahorse,Toothy Smile,Vertical Antenna,Gradient Shades,Boxy Head,Rugged Shirt,Round Torque,Volt,Roboto,None,None,None,None,None,3.2005616186250765,136
137,Mint,Teal,Hat Pointing Up,Grill,Red Flower,Kurts,Bottom Stripe,Red Hoodie,Torque,Volt,Roboto,None,None,None,None,None,3.941061111374032,137
138,Blush,Ruby,Antenna,None,Bulb,None,Boxy Head,Dress Pink,None,Saw,Roboto Cyborgo,None,Architect,Stripped,None,None,88.14112222022167,138
139,Powder,Smoke,None,Serious Fang,None,Gradient Shades,Boxy Head,Tin Body with Slider Screen,Machine Arm,Brewing Lab,Roboto Helmeto,Mullet,None,None,None,None,15.239604665614447,139
140,Powder,Smoke,None,Serious,None,Sleepy,Boxy Head,Punk Jacket,Compressor,Battery,Roboto Helmeto,Donkey,None,None,None,None,11.713068012928817,140
141,Sunflower,Smoke,None,Eating,None,Hally,Boxy Head,Soldier Jacket,Round Torque,Volt,Roboto Helmeto,Fro,None,None,None,None,11.067110518248223,141
142,Powder,Ruby,Bear Ears,Grill,Teal Flower,80s Pop,Round Bottom,Red Shirt,Torque,Battery,Roboto,None,None,None,None,None,2.479404008481135,142
143,Strawberry,Slate,Horns,None,Teal Flower,None,Round Bottom,Dress,None,Saw,Roboto Cyborgo,None,Scruffy,Square Shoulder,None,None,89.2760667872749,143
144,Golden Rod,Copper,Bulb,Serious,Blurple Flower,Annoyed,Bottom Stripe,Blue Hoodie,Torque,Wings,Roboto,None,None,None,None,None,3.7452971878086347,144
145,Golden Rod,Ruby,Baseball Cap,Eating,Blue Flower,Dim,Boxy Head,Dress,Compressor,Electron Battery,Roboto,None,None,None,None,None,1.7225574180917174,145
146,Strawberry,Rose Gold,Blue Monkey,Smile,Ring,Gradient Shades,Round Bottom,Soldier Jacket,Machine Arm,Battery,Roboto,None,None,None,None,None,5.953918605264722,146
147,Powder,Teal,Bear Ears Headband,Open Mouth,Blurple Flower,Dim,Bottom Stripe,Blush Tee,Ribbed,Saw,Roboto,None,None,None,None,None,5.272126578555823,147
148,Pear,Silver,Halo,Grill,Antenna,Big Visor,Round Bottom,Small Top with EKG,Cruncher,Wings,Roboto,None,None,None,None,None,6.361795501808125,148
149,Seafoam,Smoke,Double Bun,Toothy Smile,Blue Flower,Thug Life,Purple Layers,Tin Body with Slider Screen,Compressor,Jetpack,Roboto,None,None,None,None,None,11.486984974888493,149
