,Head,Face,Body,Skin,Background,Rarity score,Token Id
290,Flat Cap Blue,Circle Glasses,Scarf Blue,Olive Green,Beige,45.01445671122626,290
291,Flat Cap Tan,Hero Mask Red,Apron,Dark Gray,Tangerine,48.59567577075547,291
292,Biker Helmet,Star Glasses,Apron,Dark Gray,Purple,45.939761413345934,292
293,Hat Red,Circle Glasses,Tribal Necklace,Normal,Blue,7.642564372403453,293
294,Headband,Blushing,Kimono Brown,Normal,Red,15.130913866993435,294
295,Cowboy Hat,Blushing,Suit Red,Normal,Purple,11.155468857200994,295
296,Macaroni,Winking,Puffer Orange,Dark Gray,Mint,30.123970383824155,296
297,Beanie Pink,Goggles,Turtleneck Blue,Baby Pink,Beige,60.83007228170205,297
298,None,Normal,Suit Red,Ice,Beige,59.5963281815519,298
299,Backwards Hat Blue,Normal,Scarf Green,Olive Green,Tangerine,46.556501391133686,299
300,Sombrero,Blushing,Vote 4 Pudgy,Normal,Yellow,15.970482152930801,300
301,Beanie Gray,Hero Mask Blue,Bath Robe,Baby Pink,Pink,67.22129524955176,301
302,Grizzly Bear Hat,Star Glasses,Kimono Ice,Mint,Tangerine,64.94244914673159,302
303,Ice Crown,Football,Apron,Maroon,Purple,57.91714726556042,303
304,Hat Red,Cute,Hoodie Black,Olive Green,Blue,42.87257331668979,304
305,Bucket Hat Green,Cross Eyed,Shirt Blue,Normal,Beige,16.91289634411631,305
306,Flat Cap Black,Mustache,Bath Robe,Normal,Blue,16.21036596753294,306
307,Sombrero,Winking,Vote 4 Pudgy,Normal,Tangerine,10.983997951273436,307
308,Mohawk Purple,Cross Eyed,Puffer Green,Olive Green,Tangerine,53.99313100257979,308
309,Santa Hat,Normal,Shirt Red,Baby Pink,Tangerine,47.20759146108075,309
310,None,Squad,Shirt Blue,Maroon,Tangerine,51.28581489552555,310
311,Bucket Hat Tan,Monocle,Turtleneck Green,Dark Gray,Blue,33.56810526524879,311
312,Mohawk Purple,Circle Glasses,Kimono Brown,Dark Gray,Blue,27.810733697902606,312
313,Viking Helmet,Clout Goggles,Vote 4 Pudgy,Normal,Beige,22.31059837326509,313
314,Fish Green,Winking,Shirt Blue,Dark Gray,Tangerine,34.47629662031939,314
315,Camo Helmet,Football,Lei Assorted,Olive Green,Tangerine,58.979383826824176,315
316,Flat Cap Tan,Scar,Scarf Green,Baby Pink,Mint,51.988379983138756,316
317,Flat Cap Black,Aviator,Crop Top,Normal,Purple,21.17974645793297,317
318,Flat Cap Black,Monocle,Scarf Green,Normal,Blue,10.538566928567965,318
319,Biker Helmet,Cute,Tank Top Blue,Olive Green,Yellow,58.054152392725946,319
320,Afro With Pick,Mustache,Puffer Orange,Dark Gray,Tangerine,47.91028573147595,320
321,Bucket Hat Green,Cute,Bath Robe,Olive Green,Yellow,52.82795790847429,321
322,Mohawk Green,Mustache,Hawaiian Shirt,Maroon,Tangerine,57.96849116919892,322
323,Hat Red,Villain Mask,Big P,Normal,Tangerine,27.776828990478318,323
