,Eyes,Mouth,Hat,Clothes,Skin,Background,Rarity score,Token Id
183,Tired Cat,Tongue Out,Pants,Gold Chain White Tee,Butter Milk,Grey,21.938056146509368,183
184,Super Happy,Wavey,Bucket Hat,Skull Shirt,Yellow,Toxic,27.872443178175466,184
185,Super Happy,Woo,Bucket Hat,Watermelon Shirt,Butter Milk,Deep Purple,20.086916635482797,185
186,Anxious,Eff,Bucket Hat,Pancho,Yellow,Ash,19.689066207931734,186
187,3 Eyes,WhaWha,Pants,Overalls,Light Green,Pink,40.571585085581624,187
188,Triangle,Tongue Out,Headphones,Pimp Coat,Spectrum,Deep Purple,49.32589315620514,188
189,Hippy,Bubble Gum,Backward Cap,Pimp Coat,Dark Green,Tie Dye,26.57480091887374,189
190,Tired Cat,Woo,Spinner,Overalls,Grey,Toxic,41.81721645858988,190
191,Curious,Sad Face,Backward Cap,White Tee,Blue,Paint Splatter,30.571403424084266,191
192,Dazy,Bored,Backward Cap,Overalls,Pink,Tie Dye,48.82410228191434,192
193,Tired Cat,Basic Smile,Bucket Hat,Hawaiian Shirt,Yellow,Candy,9.49852054256484,193
194,Anxious,Caveduck,Pot Head,Wet Suit,Yellow,Sunset,26.194249388196194,194
195,Dead,Buck Teeth,Shroom Boom,Wet Suit,Pink,Ash,50.6926306576687,195
196,Curious,Sad Face,Paper Hat,Wet Suit,White Pebble,Ash,35.58882429297709,196
197,Standard,Basic Smile,Pants,Zebra Tee,White Pebble,Yellow Orange,23.201024479182124,197
198,Anxious,Tongue Out,Headphones,Puffycoat,2 Toned,Tie Dye Night,38.2704216339897,198
199,Anxious,Eff,Sweat Band,Itchy Ass Sweater,Dark Green,Green,34.41227086428499,199
200,Curious,Woo,Pants,Hawaiian Shirt,Yellow,Tie Dye Night,25.519533550119235,200
201,Namco,Tongue Out,Paper Hat,Overalls,Yellow,Bubble Gum,32.45729298309547,201
202,Anxious,Buck Teeth,Doo Rag,Skull Shirt,White Pebble,Candy,18.87585883723974,202
203,Anxious,Basic Smile,Hair,Hawaiian Shirt,Butter Milk,Bubble Gum,7.370413540209293,203
204,Anxious,Thinkin,Chonies,Sweater Weather,Lava,Candy,34.8275880141588,204
205,Anxious,Caveduck,Beanie,Hawaiian Shirt,Spectrum,Toxic,27.80326661708218,205
206,Anxious,Caveduck,TP Roll,420 Tee,Blue,Grey,40.72725613680563,206
207,Curious,Caveduck,Paper Hat,Zebra Tee,Red,Bubble Gum,32.7340805391001,207
