,Theme,Asset,Rarity,Rarity score,Token Id
2537,Cyberpunk,Lanterns,None,0.33427123746773374,2537
2538,Eastern Gem,NinjaNoob,None,6.718782363112267,2538
2539,Eastern Gem,Rainbow,None,2.2395881031578204,2539
2540,Underworld,BooGhost2,None,6.802352429126818,2540
2541,Eastern Gem,Bridge,None,2.089167400469057,2541
2542,Eastern Gem,ShrineGate,None,7.5711663453205045,2542
2543,Cyberpunk,Crane,None,3.1254109442756666,2543
2544,Cyberpunk,Gator,None,5.699270284557822,2544
2545,Eastern Gem,Rainbow,None,2.2395881031578204,2545
2546,Fantasy,Yggdrasil,None,2.022313754702422,2546
2547,Cyberpunk,Lanterns,None,0.33427123746773374,2547
2548,Eastern Gem,NinjaNoob,None,6.718782363112267,2548
2549,Eastern Gem,Rainbow,None,2.2395881031578204,2549
2550,Spacestation,Comet,None,4.562758308242018,2550
2551,Cyberpunk,Crane,None,3.1254109442756666,2551
2552,Spacestation,LaserCanons,None,6.367800723238065,2552
2553,Eastern Gem,Bridge,None,2.089167400469057,2553
2554,Fantasy,YggdrasilCrystals,None,2.089167400469057,2554
2555,Spacestation,Earth,None,4.546047905606616,2555
2556,Cyberpunk,Lanterns,None,0.33427123746773374,2556
2557,Cyberpunk,Lanterns,None,0.33427123746773374,2557
2558,Eastern Gem,Rainbow,None,2.2395881031578204,2558
2559,Underworld,ShopSign,None,3.4763865659650244,2559
2560,Fantasy,YggdrasilVenom,None,2.139307634622334,2560
2561,Underworld,BloodMoon,None,0.0,2561
2562,Cyberpunk,Crane,None,3.1254109442756666,2562
2563,Eastern Gem,Rainbow,None,2.2395881031578204,2563
2564,Cyberpunk,Hazmat,None,6.6185049035547365,2564
2565,Cyberpunk,Lanterns,None,0.33427123746773374,2565
2566,Fantasy,Yggdrasil,None,2.022313754702422,2566
2567,Cyberpunk,Hazmat,None,6.6185049035547365,2567
2568,Eastern Gem,Bridge,None,2.089167400469057,2568
2569,Underworld,Dullahan,None,7.855294339313605,2569
2570,Eastern Gem,Bridge,None,2.089167400469057,2570
2571,Fantasy,YggdrasilCrystals,None,2.089167400469057,2571
2572,Underworld,BloodMoon,None,0.0,2572
2573,Eastern Gem,Bridge,None,2.089167400469057,2573
2574,Fantasy,YggdrasilVenom,None,2.139307634622334,2574
2575,Underworld,BloodMoon,None,0.0,2575
2576,Spacestation,Comet,None,4.562758308242018,2576
2577,Fantasy,Yggdrasil,None,2.022313754702422,2577
2578,Eastern Gem,Rainbow,None,2.2395881031578204,2578
2579,Eastern Gem,Bridge,None,2.089167400469057,2579
