,Background,Headwear,Mouth,Accessory,Eyes,Clothes,Fur,Rarity score,Token Id
98,Lightning,Party Hat,Party Popper,None,Laser Visor,Sailor,Orange,10.906971822187025,98
99,Blue,Cowboy Hat,Whistle,None,Laser Visor,Rocker Vest,Orange,11.050718508460765,99
100,Snowy Mountains,Cowboy Hat,Flames,None,Laser Visor,No FUD,Orange,13.168118020098223,100
101,Space,Blue Hair,Tongue Out,None,Laser Visor,Ryoshi,Brown,28.165410991408528,101
102,Blue,Clown,Tongue Out,None,VR,Wizard Robe,Orange,10.291611740518698,102
103,Beach,Cowboy Hat,Normal,None,Laser Visor,Doctor,Orange,10.555283035458173,103
104,Pyramids,None,Cigarette,None,Laser Visor,Army,Brown,24.378150776361046,104
105,Green,Party Hat,Pipe,None,VR,Steel,Brown,24.617857770333167,105
106,Blue,Blonde Hair,Party Popper,None,VR,Business Suit,Brown,26.07993378534838,106
107,Yellow,Clown,Smirk,None,Laser Visor,Army,Orange,10.866851776559402,107
108,Pyramids,Mohawk,Normal,None,Laser Visor,Jersey,Black,35.09281359782376,108
109,Rainbow,Blonde Hair,Normal,None,Laser Visor,DEV,Orange,10.579248139808026,109
110,Blue,Blonde Hair,Herb,None,Laser Visor,Bat,Orange,10.539338263228947,110
111,Orange Fade,Blonde Hair,Party Popper,None,Laser Visor,Astro,Orange,13.799350963368259,111
112,Beach,Blue Hair,Bone,None,Laser Visor,Clown,Orange,12.816539506087812,112
113,Lightning,Blonde Hair,Whistle,None,VR,None,Brown,26.135826790748634,113
114,Green,None,Normal,None,Laser Visor,Poncho,Brown,19.99146566591943,114
115,Space,Clown,Flames,None,Laser Visor,Astro,Orange,14.342626344451734,115
116,Snowy Mountains,Mohawk,Smirk,None,Laser Visor,Cowboy,Orange,11.93766713482396,116
117,Green,Halo,Smirk,None,Laser Visor,Ryoshi,Black,35.20467952504976,117
118,Purple,Mohawk,Cigarette,None,Laser Visor,Bat,Orange,8.797547088452202,118
119,Orange,Party Hat,Pipe,None,VR,Business Suit,Brown,24.721703364196838,119
120,Blue,Halo,Bubblegum,None,VR,Ryoshi,Orange,8.733644137962834,120
121,Space,Party Hat,Tongue Out,None,VR,Business Suit,Orange,10.98684671746946,121
122,Purple,Cyborg,Whistle,None,Laser Visor,None,Black,34.93290320543835,122
123,Space,Cowboy Hat,Growl,None,VR,Army,Orange,12.6167943359146,123
124,Orange Fade,Blonde Hair,Pipe,None,VR,Business Suit,Orange,12.56889768674944,124
125,Green,Clown,Pizza,None,VR,Peace Tank,Brown,26.37557134608997,125
126,Orange,Cyborg,Whistle,None,Laser Visor,Scarf,Brown,27.63802204871852,126
127,Orange Fade,Cyborg,Normal,None,Laser Visor,Steel,Brown,26.335636691484567,127
128,Purple,Blonde Hair,Pizza,None,Laser Visor,Rocker Vest,Orange,10.771049696011321,128
129,Orange,Clown,Smirk,None,VR,Ryoshi,Orange,11.218486228981138,129
130,Pyramids,None,Tongue Out,None,VR,Bat,Orange,8.429960675399279,130
131,Red,Party Hat,Herb,None,Laser Visor,Tux Shirt,Orange,9.300865448470526,131
132,Red,Halo,Growl,None,Laser Visor,Wizard Robe,Orange,8.621727865315188,132
133,Red,Blonde Hair,Smirk,None,VR,Orange Gi,Brown,26.367555802512204,133
134,Beach,Cyborg,Cigarette,None,Laser Visor,Ryoshi,Black,38.98390342635895,134
135,Green,Clown,Bone,None,Laser Visor,Army,Orange,10.834922277790701,135
136,Purple,None,Tongue Out,None,Laser Visor,Cowboy,Black,33.031298308481865,136
137,Yellow,Mohawk,Herb,None,VR,None,Orange,6.983705579732762,137
138,Purple,Party Hat,Cigarette,None,VR,Tux Shirt,Orange,8.813442313675466,138
139,Green,Blue Hair,Bone,None,Laser Visor,Jersey,Black,36.626784929258875,139
140,Rainbow,Clown,Flames,None,Laser Visor,None,Brown,27.28652104400166,140
141,Purple,Cowboy Hat,Herb,None,Laser Visor,Doctor,Brown,26.383563706166758,141
142,Blue,Halo,Tongue Out,None,Laser Visor,Business Suit,Black,34.861145320287214,142
143,Orange,Cowboy Hat,Normal,None,Laser Visor,DEV,Brown,24.266153005534374,143
144,Rainbow,Cyborg,Pizza,None,VR,Army,Orange,12.776636020559321,144
145,Pyramids,Party Hat,Whistle,None,Laser Visor,Blue Armor,Orange,11.30649093565377,145
146,Snowy Mountains,Blue Hair,Flames,None,Laser Visor,None,Brown,26.631276650311385,146
147,Blue,Blonde Hair,Normal,None,Laser Visor,DEV,Black,34.41354417621196,147
148,Red,Blonde Hair,Pizza,None,Laser Visor,Peace Tank,Orange,10.61919158071108,148
149,Orange,Party Hat,Flames,None,VR,None,Black,33.73444254588697,149
