,Eyes,Mouth,Neck,Feet,Fur,Background,Back,Head,Rarity score,Token Id
5140,Pilot Goggles,Smiling,Pink Collar,None,Radioactive,Outhouse,Beer Kegs,None,54.08738869490093,5353
5141,Suspicious,Smiling,Camo Bandana,None,Black,Club Exterior,None,Fez,44.99485051144604,5354
5142,Closed,Rose,BAYC Collar,None,Pink,Outhouse,None,Halo,42.42069270837703,5355
5143,Happy,Cigarette,None,None,Robot,SS Monke Biz,None,Bow,29.511682030178715,5356
5144,Happy,Bored,Ribbon,Cast,Brown,SS Monke Biz,None,None,48.19935172591603,5357
5145,Sunglasses,Confused,None,None,Tan,Outhouse,None,Shrunken Head,26.431614606848893,5358
5146,Closed,Smiling,None,Pink Combat Boots,Trippy,Swamp,Demon Wings,Missile Launcher,65.65951137053023,5359
5147,Mystic Eye,Bone,Glow Necklace,None,Pink,SS Monke Biz,Beer Kegs,None,57.40885101443688,5360
5148,Blue Beams,Loogie,Plaid Bowtie,None,Tan,Bar,None,None,37.226999617208094,5361
5149,Shutter Shades,Cigar,BAYC Collar,Leg Knife,Tan,Outhouse,None,None,47.66716326188182,5362
5150,Happy,Bloody Fangs,None,Rain Boots,Brown,SS Monke Biz,Blue Pack,Bird,66.50488396115735,5363
5151,Happy,Smiling,None,None,DMT,Swamp,None,Earbuds,24.030778956041353,5364
5152,Goofy,Ape Hand,None,Cast,Black,Swamp,None,None,32.04061172487576,5365
5153,Happy,Cigarette,Pinstripe Bandana,Rain Boots,Black,Outhouse,None,None,48.50133408477209,5366
5154,3D Glasses,Beer Can,None,None,Cheetah,Club Exterior,None,Pimp Hat,35.509718891430815,5367
5155,Hypnotized,Smiling,Beer Can Necklace,Kicks,Brown,Club Exterior,None,Santa Hat,65.71995925493262,5368
5156,Hypnotized,Confused,BAYC Collar,None,Black,Swamp,Basketball Hoop,None,53.04188238873246,5369
5157,3D Glasses,Bored,None,Cast,Tan,SS Monke Biz,Camo Pack,King's Crown,67.22204689411848,5370
5158,Anime,Happy,BAYC Collar,None,Tan,Club Exterior,Basketball Hoop,Hermit Crab,67.64474891111146,5371
5159,Closed,Gold Teeth,Red BAYC Bandana,Flask,Black,Swamp,Beer Saddle,None,69.86388547848541,5372
5160,Wide,Cigarette,None,None,Cyberpunk,Club Exterior,Service Vest,Rat,58.22809885687923,5373
5161,Sad,Hot Dog,Golden Bone Necklace,Kicks,Tan,Outhouse,Blue Pack,Tie,85.30019557251126,5374
5162,Sad,Cyberjaw,Red BAYC Bandana,None,Tan,Swamp,Service Vest,Beanie,66.12375763011073,5375
5163,Closed,Rose,Hawaiian Bandana,Flask,Zombie,SS Monke Biz,None,None,51.71342121428811,5376
5164,Glowing Red,Bored,BAYC Collar,Kicks,Tan,Club Exterior,None,Banana Peel,64.94247383422862,5377
5165,Happy,Fire Breath,Golden Bone Necklace,None,Brown,SS Monke Biz,None,Fisherman's Hat,45.18361459755478,5378
5166,3D Glasses,Happy,Japanese Bandana,None,Tan,Club Exterior,Service Vest,Pimp Hat,70.55854737555622,5379
5167,Happy,Cigar,BAYC Collar,Fresh Laces,DMT,Swamp,None,None,51.11701883397002,5380
5168,Happy,Smiling,None,Cast,Brown,SS Monke Biz,None,Bow,38.27235533094541,5381
5169,Hypnotized,Smiling,None,None,Tan,SS Monke Biz,None,Bird,20.754279346068547,5382
5170,Confused,Bloody,Christmas Wreath,None,Pink,SS Monke Biz,None,Hermit Crab,50.422672610286234,5383
5171,Closed,Tennis Ball,Golden Bone Necklace,None,Tan,Bar,None,None,30.84408849070483,5384
5172,Hero Mask,Smiling,Pinstripe Bandana,Pink Combat Boots,Pink,Swamp,Service Vest,None,71.2226242589918,5385
5173,Happy,Fire Breath,BAYC Collar,None,Tan,Swamp,None,None,24.019333431430116,5386
5174,Happy,Tennis Ball,None,None,Tan,Swamp,Beer Kegs,Halo,43.866193618302276,5387
5175,Happy,Diamond Teeth,Black BAYC Bandana,None,Tan,Outhouse,None,None,27.008999311917226,5388
5176,Closed,Bloody,Golden Bone Necklace,Boots,Solid Gold,Outhouse,None,Tie,67.20712193747102,5389
5177,Bloodshot,Slippers,Gold Links,Cast,Pink,Swamp,None,None,53.70629931832224,5390
5178,Sad,Cigarette,BAYC Collar,None,Mega Death Bot,Outhouse,None,None,35.20005507693343,5391
5179,Goofy,Blep,None,Rain Boots,Zombie,Outhouse,None,None,37.31389304940371,5392
5180,Radioactive,Cigar,None,None,Black,Swamp,Beer Kegs,Trippy Captain's Hat,51.585109353422276,5394
5181,Bloodshot,Goofball,Pinstripe Bandana,Old Laces,Cheetah,Outhouse,None,None,55.61241725654437,5395
5182,Sad,Smiling,None,Old Laces,Cheetah,Swamp,Demon Wings,Banana Peel,68.38077185962155,5396
5183,Closed,Beer Can,Pink Collar,None,Brown,Outhouse,None,Purple Headband,42.40937379720182,5397
5184,Suspicious,Ape Hand,Hawaiian Bandana,None,Black,SS Monke Biz,None,Beanie,47.16905460379653,5398
5185,Closed,Cyberjaw,None,Rain Boots,Black,Club Exterior,Service Vest,None,52.03403360310199,5399
5186,Anime,Hot Dog,None,Flask,Tan,Swamp,None,Beanie,43.33788753872182,5401
5187,Closed,Goofball,None,None,Death Bot,Club Exterior,None,None,15.722617793726359,5402
5188,Heart Eyes,Beer Can,Gold Links,None,Tan,Club Exterior,Toilet Paper Dispenser,Beer Helmet,70.80386241252043,5403
5189,Bloodshot,Drooling,Pink Collar,None,Radioactive,SS Monke Biz,None,None,38.10273119832163,5404
5190,Closed,Panting,None,Space Boots,Black,SS Monke Biz,None,Sea Captain's Hat,43.58703150710962,5405
5191,Confused,Tennis Ball,None,None,DMT,SS Monke Biz,None,White Headband,33.62614364241013,5406
5192,Zombie,Rainbow Teeth,Pinstripe Bandana,None,Pink,SS Monke Biz,Basketball Hoop,None,58.29210167055262,5407
5193,Happy,Bubblegum,None,None,Pink,Outhouse,None,None,12.430954604333213,5408
5194,Radioactive,Smiling,Hawaiian Bandana,None,Tan,Club Exterior,None,Beer Helmet,42.8471678317832,5409
5195,Heart Eyes,Heavy Drooling,None,None,Zombie,Outhouse,Jetpack,BAYC Flipped Brim Hat,55.82001934559501,5411
5196,Mystic Eye,Bloody Fangs,None,High Tops,Tan,SS Monke Biz,Fishing Lures,None,53.845815703947345,5412
5197,Robot,Slippers,None,Flippers,Tan,Swamp,None,Pirate Captain's Hat,45.7385152039526,5413
