,Horn,Garmet,Mask,Background,Rarity score,Token Id
352,radiant,x,ninja,river,74.09051932032182,352
353,krampus,none,locke,gravel,14.366651507535419,353
354,sol,bells,locke,sand,42.472349703171844,354
355,wisp,talisman,owl,storm,46.92658912572603,355
356,ram,luna,plain,gravel,44.79342589442628,356
357,saturno,coat,plain,none,42.34688545650646,357
358,wisp,none,whiskers,storm,15.245455458923916,358
359,winked bunny ears,tie,whiskers,midnight,72.58501243710482,359
360,bunny ears,none,whiskers,jungle,4.893171123398372,360
361,bunny ears,luna,teardrop,blizzard,52.57257167132179,361
362,sol,bells,skull,gravel,46.11103270307136,362
363,none,coat,whiskers,watching,47.993125669457825,363
364,sol,none,teardrop,sand,28.858909024730245,364
365,ram,luna,duality,brick,50.1262502376724,365
366,halo,tummy,owl,none,30.364299949081747,366
367,wisp,pendant,wassie,sand,56.838640454673914,367
368,crown,talisman,whiskers,storm,39.962870948377855,368
369,halo,talisman,locke,none,23.02376374473731,369
370,krampus,bells,owl,gravel,46.04788825442678,370
371,sol,pendant,locke,storm,68.69568435986382,371
372,sprite,feathers,wassie,sand,40.02565461720556,372
373,ram,belt,wassie,gravel,37.829952524155765,373
374,antlers,talisman,duality,HGKXkcA3U9,60.35176898842707,374
375,none,feathers,fierce deity,blizzard,26.28676254477901,375
376,ram,none,ninja,river,31.744754823078335,376
377,wisp,bells,jack,sand,42.9116937266853,377
378,ram,tummy,skull,jungle,28.105723939315187,378
379,antlers,pendant,uwu,storm,59.15992278992084,379
380,halo,none,ninja,blizzard,14.178699919840513,380
381,crown,tie,uwu,HGKXkcA3U9,73.71429398558817,381
382,radiant,none,wassie,watching,28.357142127070656,382
383,wisp,luna,no face,sand,67.3156546496555,383
384,halo,tummy,bad haircut,none,17.81700927535096,384
385,radiant,feathers,uwu,jungle,26.474508016889526,385
386,halo,pendant,plain,none,43.350496559167375,386
387,none,tummy,locke,midnight,41.2802329367322,387
388,bunny ears,tummy,whiskers,sand,18.130695701097853,388
389,antlers,talisman,jack,jungle,42.472478546759454,389
390,sprite,feathers,locke,brick,37.13986036732542,390
391,none,coat,fierce deity,storm,44.04034388447589,391
392,wisp,tummy,wassie,watching,39.14727585702244,392
393,bunny ears,none,locke,gravel,7.591297236917825,393
394,ram,luna,teardrop,watching,66.31154103985897,394
395,krampus,tummy,uwu,storm,30.489622483953738,395
396,winked bunny ears,tie,whiskers,sand,50.12587658205223,396
397,antlers,feathers,skull,storm,48.05569028710871,397
398,saturno,belt,locke,sand,39.837264957877395,398
399,bunny ears,tie,wassie,jungle,39.33540784833435,399
400,bunny ears,tummy,locke,none,15.872325890818656,400
401,crown,talisman,ninja,midnight,61.167338295803866,401
402,none,tie,duality,brick,34.504878678336695,402
403,krampus,none,no face,gravel,32.87406215157637,403
404,halo,luna,teardrop,gravel,51.38066102905502,404
405,halo,coat,bad haircut,brick,46.173790599481876,405
406,bunny ears,x,ninja,storm,60.979309379626315,406
407,sol,feathers,wassie,brick,50.251340839948725,407
408,krampus,pendant,bad haircut,sand,56.33680912151197,408
409,none,belt,duality,brick,29.5485760025773,409
410,krampus,tummy,fierce deity,sand,26.03579535632138,410
411,saturno,tie,whiskers,midnight,64.49225752132392,411
412,sol,none,no face,river,58.470036777413306,412
413,wisp,talisman,wassie,none,28.607568184616365,413
414,wisp,coat,jack,storm,61.66920827289205,414
415,krampus,none,duality,watching,25.408229196999205,415
