,Legendary,Origin,Augmint,Advocate,Hat,Eyes,Neck,Body,Background,Mouth,Nosering,Special,Spikes,Skin,origin,Rarity score,Token Id
5689,None,Baby,None,None,Blue Crown,3D Glasses,Silver Chain,None,Green,None,None,None,Red,Black,None,30.930578975939316,5689
5690,None,Baby,Business Attire,None,None,Black Thick Rims,None,None,Light Pink,None,None,None,Brown,Burgundy,None,9.352930538803307,5690
5691,None,Baby,Business Attire,None,None,Looking Up,None,None,Lime,None,Silver Ring,None,Green,Green,None,35.5685070065602,5691
5692,None,Baby,Business Attire,None,None,Looking Up,Trendy Obg Hoodie,None,Green,Cigar,None,None,Sand,Blue,None,34.20142444853918,5692
5693,None,Baby,None,None,Orange Beanie,Looking Up,Red Bowtie,None,Purple City,None,None,None,Red,Brown,None,28.274362509668876,5693
5694,None,Baby,None,None,None,Annoyed,None,None,Sky Blue,Blunt,None,None,Burgundy,Burgundy,None,24.361192218860715,5694
5695,None,Baby,Business Attire,None,Burgundy Visor,Looking Forward,None,None,Pink,None,None,None,Gray,Black,None,20.916964702338667,5695
5696,None,Baby,Business Attire,None,None,Black Specs,Brown Jacket,None,Salmon,Cigarette,None,None,Blue,Blue,None,41.18020123435666,5696
5697,None,Baby,None,None,Black Beanie,Black Clubmasterz,Gold Bowtie,None,Teal,None,None,None,Burgundy,Sand,None,27.90718231937183,5697
5698,None,Baby,None,None,Dragon Headband,Looking Forward,Orange Hoodie,None,Red,E Cig,None,None,Sand,Burgundy,None,45.74498866699091,5698
5699,None,Baby,None,None,None,None,None,None,Olive,None,None,Rx Type 78,Green,Red,None,33.16435349709875,5699
5700,None,Baby,None,None,Ninja Headband,Blushy Happy,Red Bowtie,None,Olive,None,None,None,Gray,Gray,None,25.44051292463006,5700
5701,None,None,None,None,None,None,None,None,None,None,None,None,None,None,DNA,29.50929100699372,5701
5702,None,Baby,None,None,Orange Beanie,Blushy Happy,None,None,Lime,None,None,None,Sand,Sand,None,19.289752849595324,5702
5703,None,Baby,Business Attire,None,None,Looking Up,None,None,Blue,None,None,None,Burgundy,Sand,None,4.676382292971852,5703
5704,None,Baby,Business Attire,None,None,Black Clubmasterz,None,None,Pink,None,None,None,Gray,Brown,None,7.948589985238093,5704
5705,None,Baby,None,None,None,Angered,Squat Hoodie,None,Olive,Cigar,None,None,Brown,Gray,None,30.73501894313932,5705
5706,None,Baby,None,None,Blue Crown,Looking Forward,Green Bowtie,None,Gray,Cigar,None,None,Purple,Gray,None,46.76217708175635,5706
5707,None,Baby,Business Attire,None,None,Looking Up,None,None,Light Pink,None,None,None,Black,Red,None,9.646748803436287,5707
5708,None,Baby,Business Attire,None,None,3D Glasses,Orange Hoodie,None,Sky Blue,Cigarette,None,None,Black,Gray,None,36.1143409543216,5708
5709,None,Baby,None,None,None,Blushy Happy,Silver Spike Collar,None,Blue,None,None,None,Green,Burgundy,None,15.105663372802297,5709
