,Back,Body,Arms,Chest,Face,Hat,Element,Water,Grass,Air,Fire,Stage,Rarity score,Token Id
2098,fossil,scales,cloud,scales,stunned,ears,fire,20.0,27.0,23.0,30.0,final_form,92.53434630988517,2273
2099,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2274
2100,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2275
2101,squirrel,wave,balloon,round,cutehappy,halo,air,24.0,9.0,59.0,8.0,final_form,93.74242442892822,2276
2102,None,None,None,None,None,None,None,None,None,None,None,One,8.155832200676905,2277
2103,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2278
2104,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2279
2105,monke,spots,mushroom,petalyellow,faceface,snake,grass,3.0,62.0,21.0,14.0,final_form,93.87393786688742,2280
2106,squirrel,splotch,flower,bulba,hmpf,sprout,grass,26.0,51.0,10.0,13.0,final_form,93.83247385466449,2281
2107,fin,scales,handhand,diamonds,faceface,froggeh,water,28.0,20.0,27.0,26.0,final_form,93.97974337829001,2282
2108,batwing,blobs,cloud,cloudbelt,facepaint,unicorn,air,15.0,6.0,69.0,11.0,final_form,94.60305318096142,2283
2109,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2284
2110,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2285
2111,bug,stripes,crab,spikes,cutelashes,mushroom,grass,24.0,38.0,15.0,22.0,final_form,92.51575565378562,2286
2112,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2287
2113,fin,wave,wingwing,toto,OwO,cat,air,0.0,0.0,67.0,33.0,final_form,93.4621844837708,2288
2114,tadpole,splotch,fishingpole,porthole,hmpf,streak,water,36.0,23.0,29.0,13.0,final_form,95.46226265583468,2289
2115,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2290
2116,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2291
2117,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2292
2118,None,None,None,None,None,None,None,None,None,None,None,Two,8.376105465894994,2293
2119,squirrel,spots,airhorn,symbolair,cutelashes,flyinghat,air,14.0,29.0,31.0,26.0,final_form,94.25850840964345,2294
2120,fossil,blank,mushroom,petalyellow,cutehappy,miner,grass,6.0,35.0,28.0,31.0,final_form,93.96114445790185,2295
2121,fox,zigzag,wingwing,round,ditto,aircrown,air,26.0,20.0,36.0,19.0,final_form,93.3964421541805,2296
2122,dragonfly,scales,flower,leafnecklace,cutehappy,streak,grass,26.0,42.0,21.0,11.0,final_form,93.23487780719475,2297
2123,tentacle,blobs,fishingpole,round,faceface,antennatriple,water,50.0,12.0,13.0,25.0,final_form,94.34858137329982,2298
2124,jolt,wave,firehands,round,derpy,bomb,fire,15.0,28.0,19.0,38.0,final_form,93.39929487639715,2299
2125,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2301
2126,rabbit,blank,mushroom,petalyellow,cuteangry,minime,grass,12.0,64.0,12.0,12.0,final_form,92.8731304410849,2302
2127,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2303
2128,tail,zigzag,firehands,round,facepaint,minime,fire,8.0,24.0,21.0,47.0,final_form,92.89606150159298,2304
2129,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2305
2130,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2306
2131,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2307
2132,fin,splotch,paw,symbolwater,hmpf,froggeh,water,43.0,12.0,35.0,9.0,final_form,94.53872946435133,2308
2133,fossil,splotch,claw,round,OwO,bumps,fire,1.0,17.0,9.0,73.0,final_form,93.31496093001238,2309
2134,rattle,blank,claw,bowtie,piggy,minime,grass,19.0,59.0,15.0,8.0,final_form,93.11622412457123,2310
2135,cloud,wave,balloon,rainbow,cutelashes,flyinghat,air,9.0,13.0,67.0,11.0,final_form,95.120582338629,2311
2136,tentacle,spots,paw,round,trunk,antennatriple,water,34.0,17.0,31.0,17.0,final_form,93.57086603506897,2312
2137,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2313
2138,fire,zigzag,nub,goldnecklace,froggeh,fossil,fire,24.0,21.0,20.0,35.0,final_form,93.04904060203447,2314
2139,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2315
2140,None,None,None,None,None,None,None,None,None,None,None,Two,8.376105465894994,2316
2141,cloud,stripes,club,diamonds,grin,spikes,fire,7.0,27.0,3.0,64.0,final_form,94.55157711845833,2317
2142,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2318
2143,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2319
2144,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2321
2145,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,2322
