,Background,Left Arm,Right Arm,Eyes,Hat,Sleeves,Upper Body,Legs,Feet,Mouth,Bag,Nose,Outerwear,Shoe Gum,Fannypack,Neck,Suspenders,Ears,Overhead,Special,Rarity score,Token Id
85,Blue,Swinging,Swinging,Nose Glasses with Black Hair,None,Long Sleeves,Red Tracksuit Jacket,Red Sweatpants,Yellow Boots,Bandana,None,None,Black Death Robe,None,None,None,None,None,None,None,26.911501601736674,86
86,Orange,Umbrella,Swinging,Eye Patch,Tie,Long Sleeves,Naked,Naked,Green Boots,Bandana,None,None,Grey Belted Coat,None,None,None,None,None,None,None,46.606987268836725,87
87,Blue,Juice,Swinging,None,White / Blue Baseball Cap,Short Sleeves,Blue Tucked Shirt,Blue Tracksuit Pants,Maroon Shoes,None,Brown Backpack,None,None,None,None,None,None,Headphones,None,None,49.431150931381055,88
88,Blue,Axe,Coffee,None,Tan Baseball Cap,Short Sleeves,Blue / White Sweater Vest and Shirt,Green Pants,Pink Slippers,None,None,None,None,None,None,Scarf Bandana,None,None,None,None,44.35886267282427,89
89,Yellow,Axe,Fast Food,None,White / Blue Baseball Cap,Long Sleeves,Dark Blue / White Sweater Vest and Shirt,Lavender Pants,Maroon Shoes,None,None,Bandage,Yellow Coat,None,None,None,None,Bing Bong Stick,None,None,65.33904006003873,90
90,Purple,Skateboard,Swinging,Brown Glasses,Rain Hat,Long Sleeves,Purple Zipper Hoodie with Hood Down,Pink Shorts,Bubblegum Blue Sneakers,Toothpick,None,None,None,None,None,None,None,None,None,None,31.584505686720703,91
91,Yellow,Swinging,Laptop,Brown Glasses,Visor,Long Sleeves,Grey Tucked Shirt,Purple Sweatpants,Maroon Shoes,None,None,None,None,None,None,Scarf,None,None,None,None,36.51777606431627,92
92,Pink,Boxing Glove,Swinging,White Glasses,None,Long Sleeves with Stripes,Blue Tracksuit Jacket,Green Pants,Pink Slippers,None,None,None,None,Gum,None,None,None,None,None,None,40.84395894965197,93
93,Green,Swinging,Swinging,Sunglasses,Blue Bucket Hat,Long Sleeves,Orange Puffer Jacket,Dark Blue Skirt,Bubblegum Blue Sneakers,None,None,None,None,None,None,None,None,None,None,None,16.35320042914267,94
94,Pink,Swinging,Book,None,None,Long Sleeves,Blue Zipper Hoodie with Hood Up,Red Tracksuit Pants,Cream Slippers,None,None,None,None,None,None,None,None,None,None,None,14.678398789675704,95
95,Blue,Swinging,Coffee,Nose Glasses with White Hair,White / Blue Baseball Cap,Long Sleeves,Light Blue / Pink Tucked Shirt,Pink Shorts,Bubblegum Blue Sneakers,None,None,None,None,None,None,None,None,None,None,None,17.917882357445784,96
96,Blue,Swinging,Swinging,White Nerd Glasses,None,Long Sleeves,Blue / Green / Pink Puffer Vest,Tan Skirt,Ice Grey Sneakers,None,None,None,None,None,None,None,None,None,None,None,3.867619498530274,97
97,Blue,Axe,Swinging,None,Tan Bucket Hat,Long Sleeves,Cream Sweatshirt,Lavender Pants,Rocket Pop Sneakers,None,None,None,None,None,Yellow Fannypack,None,None,Headphones with Music,None,None,39.11643907353744,98
98,Green,Stick Bag,Swinging,White Glasses,None,Long Sleeves,Pink Hoodie with Hood Down,Pink Skirt,Tan Boots,None,None,None,None,None,None,None,None,None,None,None,16.6653717461641,99
99,Blue,Swinging,Dog,None,Light Blue Beanie,Long Sleeves,Blue Turtleneck,Green Pants,Tan Boots,None,None,None,Grey Belted Coat,None,None,None,None,Headphones with Music,None,None,39.83601725793902,100
100,Yellow,Bomb,Fast Food,None,Big Hat,Long Sleeves,Light Blue / Pink Tucked Shirt,Light Blue Shorts,Dark Blue Slippers,Cigar,None,None,None,None,None,Scarf Bandana,None,None,None,None,49.809276033513875,101
101,Blue,Swinging,Swinging,White Nerd Glasses,None,Short Sleeves,Grey / White V-Neck Sweater Vest and Shirt,Tan Pants,Summer Day Sneakers,Bandana,None,None,None,None,None,None,None,Headphones with Music,None,None,34.16193483948016,102
102,Blue,Swinging,Laptop,None,Green Pointy Beanie,Long Sleeves with Stripes,Green / White / Blue Tracksuit Jacket,Purple Sweatpants,Red Shoes,Straw,None,None,None,None,None,None,None,None,None,None,35.536429288631446,103
103,Blue,Swinging,Book,Black Glasses,None,Long Sleeves,Purple Hoodie with Hood Up,Lavender Pants,Dark Blue Slippers,Toothpick,Tote,None,None,None,None,None,None,None,None,None,30.840320649613112,104
104,Blue,Bomb,Dog,White Glasses,None,Long Sleeves,Light Blue / Dark Blue Hoodie Jacket with Hood Down,Red Tracksuit Pants,Ice Grey Sneakers,None,None,None,None,None,None,None,None,None,None,None,18.024687836033813,105
105,Blue,Swinging,Swinging,None,Tan Bucket Hat,Long Sleeves,Green / White / Blue Tracksuit Jacket,Green Shorts,Green Boots,None,None,None,None,None,None,None,None,None,None,None,7.619362893801308,106
106,Blue,Swinging,Swinging,Thief Mask,Tan Bucket Hat,Long Sleeves,Blue Sweatshirt,Green Pants,Blue Shoes,None,None,None,None,None,None,None,None,None,None,None,9.755307917087551,107
107,Blue,Swinging,Swinging,Sunglasses,Knitted Bobble Hat,Short Sleeves,Blue Loose Shirt,Blue Pants,Green Shoes,Pipe,None,None,None,None,None,None,Rainbow Suspenders,None,None,None,42.63984782602983,108
108,Blue,Axe,Book,Black Glasses,None,Long Sleeves,Grey / White V-Neck Sweater and Shirt,Pink Shorts,Ice Grey Sneakers,None,Cream Chest Bag,None,None,None,None,Scarf,None,None,None,None,43.26148257487043,109
109,Blue,Umbrella,Pocket,White Glasses,None,Long Sleeves,Blue / White Sweater and Shirt,White Shorts,Tan Boots,None,None,None,None,None,None,None,None,None,None,None,17.548707251848516,110
110,Yellow,Axe,Swinging,None,Blue Beanie,Long Sleeves,Black Zipper Hoodie with Hood Down,Lavender Pants,White Shoes,None,None,None,None,None,None,None,None,None,None,None,18.72390039187486,111
111,Blue,Swinging,Book,Nose Glasses with Black Hair,None,Long Sleeves,Grey Zipper Hoodie with Hood Down,Tan Shorts,White Shoes,Bing Bong Stick,None,None,None,None,None,None,None,None,None,None,20.100798542504833,112
112,Orange,Swinging,Swinging,Eye Patch,Light Blue Beanie,Long Sleeves,Orange Puffer Jacket,Pink Skirt,Forest Moss Sneakers,None,None,None,None,None,None,None,None,None,None,None,17.144481920781207,113
113,Yellow,Swinging,Swinging,None,Feather Cap,Long Sleeves,Dark Blue / White Sweater and Shirt,Blue Pants,Summer Day Sneakers,None,None,None,None,None,None,None,None,None,None,None,12.902607042933315,114
114,Yellow,Boxing Glove,Book,Googly Eyes,None,Long Sleeves,Grey Zipper Hoodie with Hood Up,Green Skirt,Tan Boots,Straw,None,None,None,None,Yellow Fannypack,None,None,None,None,None,47.05884446177715,115
115,Blue,Stick Bag,Book,White Nerd Glasses,None,Long Sleeves,Grey Zipper Hoodie with Hood Down,Green Skirt,Maroon Shoes,None,None,None,None,None,None,None,None,None,None,None,17.066846951771574,116
116,Purple,Swinging,Swinging,None,None,Long Sleeves,Black Zipper Hoodie with Hood Up,Green Tracksuit Pants,Summer Night Sneakers,Straw,None,None,None,None,None,None,None,None,None,None,16.751692599891413,117
117,Yellow,Scientist,Pocket,Boomer Glasses,Big Hat,Long Sleeves,Green / White Varsity Jacket,Blue Sweatpants,Red Shoes,None,None,None,None,Gum,None,None,None,None,None,None,44.08858548560239,118
