,Beak,Background,Feathers,Body,Outerwear,Eyes,Headwear,Eyewear,Rarity score,Token Id
184,Small,Blue,Green,Professor,Hoodie Down,Angry,None,None,48.51353134119172,184
185,Small,Blue,Brown,Guardian,None,Open,Karate Band,None,21.62841652948335,185
186,Short,Pink,White,Tabby,None,Side-eye,Tiara,None,26.88705608254482,186
187,Small,Green,Metal,Robot,Punk Jacket,Angry,Captain's Cap,None,60.57202996811569,187
188,Small,Green,Green,Tabby,None,Discerning,None,None,17.537911444517942,188
189,Short,Green,Red,Stark,None,Side-eye,Pirate's Hat,None,21.97338300513485,189
190,Small,Blue,Black,Crescent,None,Relaxed,Wizard's Hat,None,16.951957537067372,190
191,Small,Green,Red,Crescent,Hoodie,Heart,None,None,36.810647316763465,191
192,Short,Green,Brown,Crescent,None,Relaxed,Headphones,None,15.629142601561503,192
193,Short,Blue,Brown,Professor,None,Side-eye,Karate Band,None,26.73610653579887,193
194,Small,Green,Blue,Stark,None,Discerning,None,None,14.356756571926551,194
195,Long,Pink,Gray,Crescent,None,None,None,Gazelles,44.79016252288569,195
196,Short,Green,Gray,Crescent,None,Discerning,Moon Hat,None,15.657842801192757,196
197,Short,Pink,Brown,Emperor,None,Relaxed,Headphones,None,27.72459376874149,197
198,Small,Purple,Pink,Crescent,None,Side-eye,Captain's Cap,None,19.16625647112361,198
199,Small,Blue,Blue,Tranquil,None,Open,Mohawk (Pink),Big Tech,51.3134721382719,199
200,Long,Purple,Green,Stark,None,Side-eye,Space Helmet,None,36.135359402733904,200
201,Short,Gray,Metal,Robot,Hoodie Down,None,Backwards Hat,Visor,90.24306545055818,201
202,Small,Pink,Gray,Tranquil,Jean Jacket,Angry,None,None,44.61734085311565,202
203,Short,Blue,Purple,Crescent,Hoodie Down,None,Mohawk (Pink),Gazelles,74.69233234562908,203
204,Small,Blue,Gray,Tabby,None,None,Raincloud,Gazelles,53.631657021135084,204
205,Short,Green,Green,Tabby,None,None,None,3D Glasses,46.734431963005704,205
206,Small,Yellow,Purple,Stark,None,Open,Backwards Hat,None,20.258858287536814,206
207,Short,Blue,Gray,Tabby,None,None,Bow,Rose-Colored Glasses,54.426001503630104,207
208,Small,Green,Red,Tabby,None,Side-eye,Pirate's Hat,None,22.706713361895744,208
209,Long,Purple,Brown,Tabby,None,Side-eye,None,None,23.82819080782076,209
210,Short,Purple,Red,Stark,None,Discerning,Moon Hat,None,21.36946832961964,210
211,Short,Blue,Brown,Brave,None,Discerning,None,Monocle,45.22845563929192,211
212,Small,Yellow,Pink,Stark,None,Angry,Queen's Crown,None,26.161021477502576,212
213,Long,Blue,Blue,Tabby,None,Open,Queen's Crown,None,31.02057964396013,213
214,Small,Green,White,Emperor,Punk Jacket,Adorable,Karate Band,None,60.74461619986668,214
215,Short,Yellow,Blue,Sage,None,Angry,Mohawk (Green),None,28.71665734217536,215
216,Short,Pink,Gray,Stark,Jean Jacket,Open,Cowboy Hat,None,49.5953430558574,216
217,Long,Pink,Red,Crescent,None,Discerning,Headband,None,23.526206510572454,217
218,Short,Green,Black,Guardian,None,Discerning,Bow,None,27.091949409675358,218
219,Short,Purple,Blue,Professor,None,Discerning,Crescent Talisman,None,28.069673128820043,219
220,Small,Gray,Brown,Tranquil,None,Discerning,None,None,14.852730828735675,220
221,Short,Blue,Blue,Crescent,None,Open,Aviator's Cap,None,13.29985088958216,221
222,Short,Green,Green,Emperor,None,Open,Flower,None,27.113631752786453,222
223,Long,Green,Red,Crescent,None,Discerning,Raincloud,None,23.015876214356553,223
224,Short,Yellow,Green,Tranquil,None,Discerning,Mohawk (Green),None,28.52611680724691,224
225,Small,Green,Green,Brave,None,Side-eye,None,None,19.345940364893778,225
226,Short,Yellow,Green,Emperor,None,Open,Dancing Flame,None,27.311313094781237,226
227,Small,Purple,Black,Crescent,Punk Jacket,Relaxed,Lincoln,None,45.44406326085706,227
228,Small,Pink,Gray,Stark,None,Side-eye,Aviator's Cap,None,24.309793592124194,228
229,Small,Purple,Red,Tranquil,Diamond Necklace,None,None,3D Glasses,71.57624748717369,229
230,Long,Green,Black,Professor,None,Side-eye,None,None,26.865486969111142,230
231,Short,Gray,Brown,Guardian,None,Open,Queen's Crown,None,21.862023358159018,231
232,Short,Pink,Brown,Crescent,None,Discerning,Lincoln,None,15.812409666306863,232
233,Small,Gray,Red,Guardian,None,None,Space Helmet,Aviators,52.83018071271144,233
234,Short,Gray,Gray,Tranquil,None,Open,Space Helmet,None,21.631949363559542,234
235,Short,Blue,White,Brave,None,Side-eye,Bandana,None,28.342819181978367,235
236,Small,Gray,Red,Stark,None,Open,Fire,Half-moon Spectacles,46.57624239459095,236
237,Short,Green,Gray,Tranquil,None,Discerning,Headphones,None,25.549880430833976,237
238,Long,Green,Gray,Brave,None,Open,Raincloud,None,31.50946702162079,238
239,Small,Pink,White,Tabby,None,Relaxed,None,Monocle,45.44414053550405,239
240,Small,Pink,Black,Tranquil,None,Open,Raincloud,None,22.020209707933827,240
241,Short,Pink,Brown,Emperor,Hoodie Down,Side-eye,Dancing Flame,None,56.90237848775483,241
242,Long,Yellow,Brown,Tabby,None,Discerning,None,None,23.6089187981406,242
243,Short,Pink,Gray,Crescent,None,Angry,Captain's Cap,None,16.416321115362724,243
244,Small,Pink,Purple,Guardian,None,Discerning,Bandana,None,26.94824348662807,244
245,Small,Purple,Brown,Crescent,None,Relaxed,Witch's Hat,None,15.697475843137576,245
246,Short,Gray,Gray,Stark,None,Relaxed,Moon Hat,None,23.56570439006542,246
247,Short,Pink,Gray,Crescent,None,Open,Raincloud,None,12.660046309878012,247
248,Short,Blue,Green,Tranquil,None,Open,None,None,14.798870822593791,248
249,Short,Yellow,Black,Guardian,None,Relaxed,Bandana,None,27.034445113267303,249
250,Short,Blue,White,Tranquil,None,Diamond,Space Helmet,None,30.826638209830925,250
251,Small,Pink,Red,Crescent,None,Angry,Beanie,None,13.792290509465,251
252,Short,Purple,Bone,Skeleton,None,None,Diamond,Visor,62.02043476638759,252
