,Eyes,Mouth,Clothes,Fur,Background,Earring,Hat,Rarity score,Token Id
155,Sunglasses,Grin,Leather Punk Jacket,Dmt,Blue,Silver Hoop,Vietnam Era Helmet,90.13800000790448,155
156,X Eyes,Bored Unshaven,Tanktop,Golden Brown,Orange,None,S&m Hat,41.35646825292219,156
157,Bored,Bored,Navy Striped Tee,Dark Brown,Army Green,Silver Stud,None,50.030405164726275,157
158,Bored,Bored Unshaven,Black T,Dark Brown,Purple,Silver Hoop,None,53.99343986313766,158
159,Sad,Bored,None,Zombie,Aquamarine,None,None,14.130130264844375,159
160,X Eyes,Bored,None,Dark Brown,Blue,None,Short Mohawk,22.005065830163765,160
161,Sad,Grin,None,Black,Yellow,None,Commie Hat,30.6997010194898,161
162,Bloodshot,Jovial,Wool Turtleneck,Noise,Blue,None,Spinner Hat,50.10254454075365,162
163,Heart,Bored Unshaven,Striped Tee,Zombie,Aquamarine,None,Bayc Flipped Brim,42.38278117835564,163
164,Wide Eyed,Bored,Bone Tee,White,Yellow,None,Fez,36.23789815959646,164
165,Robot,Bored Unshaven,Tuxedo Tee,Cream,Purple,None,Beanie,39.25221666789561,165
166,Angry,Phoneme Wah,Black T,Pink,Army Green,Silver Hoop,Sushi Chef Headband,90.3187132947219,166
167,Coins,Bored,Puffy Vest,Black,Yellow,Silver Hoop,Irish Boho,71.95627330859277,167
168,Sad,Phoneme  ooo,Tanktop,Black,Army Green,Silver Hoop,Fisherman's Hat,83.94190566881004,168
169,Bored,Dumbfounded,Smoking Jacket,White,Blue,None,Faux Hawk,42.00194671238548,169
170,Heart,Phoneme  ooo,Guayabera,Cream,Army Green,None,Sea Captain's Hat,49.43122481776974,170
171,Closed,Bored Unshaven,Service,Brown,Yellow,None,None,22.011419144277895,171
172,Bloodshot,Bored Unshaven,None,Black,Yellow,None,Bayc Flipped Brim,23.857548551327955,172
173,Bored,Bored,Guayabera,Blue,Yellow,None,Bayc Flipped Brim,29.047296239718438,173
174,Bloodshot,Rage,Black Holes T,Pink,Aquamarine,Gold Hoop,Bowler,89.89273229370158,174
