,Body,Outerwear,Eyes,Species,Shoes,Background,Head,Attitude,Headwear,Eyewear,Underfoot,Rarity score,Token Id
5390,Blue,Diamond Grill,Suspicious,Toad ,None,Grey,None,Statant,Halo,None,None,39.81944353599104,5390
5391,Ninja,None,Side-eye,Mutant Toad,None,Green,Lizard,Passant,Oddities Hat,None,None,24.369784564980513,5391
5392,Ninja,Hero's Tunic,Angry,Mutant Toad,Hero Boots,Yellow,Bug,Statant,Hero's Cap,None,None,62.426776931354254,5392
5393,Purple,Hoodie Down,Void,Mouse,Slipons (White),Pink,Skull,Rampant,Queen's Crown,None,None,51.82206221537265,5393
5394,Red,None,None,Rat,Hightops (Green),Green,Creep,Statant,Dancing Flame,Noggles,Eye,74.02606198009244,5394
5395,Purple,None,Side-eye,Rabbit,Socks (Pellet),Purple,Creep,Sejant,None,None,None,16.32294606252344,5395
5396,Red,Hero's Tunic,Void,Rabbit,Hero Boots,Yellow,Flesh,Rampant,Hero's Cap,None,None,48.25808967107031,5396
5397,Metal,None,None,Rabbit,Hightops (Grey),Purple,None,Statant,Backwards Hat,Visor (Heat),None,51.61411960002301,5397
5398,Red,Gold Grill,None,Bird,None,Purple,Creep,Sejant,Flower,3D,None,56.36320165429001,5398
5399,Red,None,Divit,Rabbit,Hightops (Grey),Pink,Creep,Sejant,Fire,None,None,25.644739597680445,5399
5400,Green,Hoodie Down,Dead,Bat,Work Boots,Purple,Flesh,Rampant,Halo,None,None,55.3026657809764,5400
5401,Rusty,Punk Jacket,None,Bat,None,Grey,None,Rampant,None,Aviators,None,56.53848307133437,5401
5402,Black,Punk Jacket,Discerning,Rabbit,Socks (Classic),Yellow,Skull,Sejant,Aviator's Cap,None,None,47.53296430466349,5402
5403,Blue,Hero's Tunic,Stirring,Rabbit,Hero Boots,Yellow,Skull,Rampant,Hero's Cap,None,None,51.71498874507997,5403
5404,Brown,None,None,Toad ,None,Yellow,None,Passant,Raincloud,Sunglasses,None,34.995499200848926,5404
5405,Red,None,Eclipse,Toad ,None,Green,None,Rampant,Stealth Headband,None,None,14.690617288597416,5405
5406,Grey,None,Discerning,Lizard,None,Green,Flesh,Crustant,None,None,None,5.7581549082135215,5406
5407,Black,None,Side-eye,Rabbit,Slipons (Grey),Blue,Skull,Passant,Witch's Hat,None,None,24.68758867877575,5407
5408,Green,None,None,Mutant Toad,None,Grey,Rat,Sejant,Bandana,Gazelles,None,43.85047022079297,5408
5409,White,None,Angry,Rabbit,Gym (Crusty),Blue,Flesh,Sejant,Raincloud,None,None,25.296972561415025,5409
5410,Grey,None,Angry,Rat,None,Green,Skull,Statant,Tiara,None,None,11.400199951330052,5410
5411,Pink,None,Void,Rat,Hightops (Grey),Blue,Creep,Passant,Pirate,None,None,28.575719513236137,5411
5412,Ninja,None,Eclipse,Toad ,None,Yellow,None,Sejant,Wizard's Hat,None,None,18.777802085835706,5412
5413,White,None,Eclipse,Toad ,Hightops (Green),Green,None,Statant,Beanie,None,None,30.997814184095397,5413
5414,Brown,None,Angry,Rat,None,Grey,Flesh,Passant,None,None,None,2.6218934769168842,5414
5415,Brown,None,None,Bird,Slipons (Grey),Yellow,Flesh,Rampant,Flower,Gazelles,None,47.96702335958455,5415
5416,Brown,Diamond Grill,Twinkle,Lizard,Hightops (Blue),Purple,Flesh,Sejant,Stealth Headband,None,None,54.03051692595929,5416
5417,Green,None,None,Mutant Toad,Slipons (Grey),Green,Mouse,Sejant,Halo,Big Tech,None,57.680351296142994,5417
5418,Red,None,Divit,Mouse,Socks (Dirty),Green,Creep,Passant,Ranger,None,None,24.497345131446536,5418
