,Baby,Hat,Accessories,Clothes,Eyes,Mouth,Body,Background,World,Line,Rarity score,Token Id
92,None,None,None,Blue Hoodie,Happy,Whiskers,Orange,Purple,Donut World,None,3.196706880492217,92
93,Mummy,Comb Over,None,Nude,Blue Tinted Glasses,Smirk,Blue Sand,Rock,Dino World,None,53.78892382645179,93
94,None,Pink Coolman,None,Yellow Ski Jacket,Neutral,Meow,Pink,Beach,Donut World,None,16.74061154348996,94
95,None,None,None,None,None,None,Duck,Plaid Pink,None,None,28.569388637412878,95
96,None,None,None,Urspecial Pinkblue,Pink Party Glasses,Smirk,Light Blue,Beach,Donut World,None,4.0812782415761095,96
97,None,None,None,None,None,None,Sleepbot,Canvas Orange,None,None,28.69162937251967,97
98,None,None,None,Red Gameshow,3d Glasses,Omg,Pink,Wavy Pink,Donut World,None,6.791820080737863,98
99,None,Sweatband,Scarf,White Tux,Cute,Neutral,Pink,Ur Special Blue,Donut World,None,34.58798786065586,99
100,None,None,None,Og Ski Jacket,Relieved,Kissy,Pink,Orange,Donut World,None,3.7197811259375104,100
101,None,None,Cancer Horoscope,Red Wizard,X X,Smirk,Red,Ur Special Green,Wall Street Wasteland,Pink Glow,64.83582703476512,101
102,Potted Plant,Sombrero,None,Yellow Party Shirt,Heart Eyes,Omg,Pink,Turquoise,Donut World,None,36.15607947886982,102
103,None,None,None,Orange Wizard,Ghoul,Pacifier,Sterling Silver,Diamond,Wall Street Wasteland,Orange,50.93588292554582,103
104,Potted Plant,Green Coolman,Scarf,Nude,Green Party Glasses,Chubby Cheeks,Gradient 3,Stay Special Pink,Donut World,None,53.042624648145285,104
105,None,Pink Bucket,None,Orange Gameshow,Cute,Neutral,Light Blue,Orange,Donut World,None,18.46760148715106,105
106,None,Red Mohawk,None,Og Wizard,Perplexed,Smiling,Red,Wavy Pink,Wall Street Wasteland,None,39.91484590842642,106
107,None,Bone Stud,Spear,Adventurer,3d Glasses,Sad,Pistachio,Plaid Blue,Dino World,None,52.73315161641982,107
108,None,None,None,Green Tank,Pink Party Glasses,Meow,Orange,Orange,Donut World,None,6.248046554712007,108
109,Robot,None,None,Urspecial Pinkpurple,Cute,Robo,Purple,Plaid Orange,Donut World,None,23.934618668765793,109
110,None,Bone Stud,None,Leaf,Neanderthal Eyes,Smiling,Mint Green,Cave,Dino World,None,36.387720166189446,110
111,Goo,None,None,Red Wizard,Neutral,Drooling,Red,Flowy Green,Wall Street Wasteland,Blue Glow,66.22443392338624,111
112,Dimension Dust,None,None,Pink Wizard,Neutral,Smirk,Sterling Silver,Night,Wall Street Wasteland,Orange Glow,63.69670878614744,112
113,None,Birthday,Rubix,Pink Skate Hoodie,Smize,Sad,Orange,Plaid Blue,Donut World,None,34.05480579141047,113
114,None,None,Rubix,White Tux,Purple Tinted Glasses,Tongue,White,Purple,Donut World,None,20.428773324338636,114
115,Monkey,Green Space Sailor,Katana,Blue Party Shirt,3d Glasses,Neutral,Light Blue,Plaid Pink,Donut World,None,52.12186682375957,115
116,None,None,None,None,None,None,Cool Dino,Trippy Dark,None,None,28.764453465046657,116
117,Mammoth,Horns,None,Adventurer,Eye Patch,Smiling,Orange Sand,Leaf,Dino World,None,55.63280429157391,117
118,Monkey,Blue Space Sailor,Face Tats,Blue Ski Jacket,Happy,Sad,Light Blue,Beach,Donut World,None,48.670551145325824,118
119,None,None,Cyborg Glove,Blue Tank,Goggles,Smiling,Yellow,Pink,Donut World,None,20.103698406324106,119
120,Kitty,None,Katana,Astronaut,Purple Tinted Glasses,Smiling,Gradient 1,Plaid Pink,Donut World,None,40.24989426833413,120
121,None,Yellow Coolman,None,Melon Skate Hoodie,Cute,Joy,Light Green,Turquoise,Donut World,None,19.107473098510805,121
122,Devil Baby,Flame,None,Pink Wizard,Heart Eyes,Smirk,Sea Foam,Canvas Purple,Wall Street Wasteland,Orange Glow,81.4421165453866,122
123,None,Pink Space Sailor,Alien Bling,Red Tank,3d Glasses,Scream,Sterling Silver,Orange,Donut World,None,37.83135014004168,123
124,None,Bear,Hieroglyphics,Fur,Cyclopse Lizard,Smirk,Scales,Leaf,Dino World,None,52.192078703670006,124
125,None,Yellow Bucket,None,Orange Gameshow,Happy,Scream,Gradient 1,Turquoise,Donut World,None,19.154300999118522,125
126,Skeleton,None,None,Black Tie,Neutral,Smirk,Lime Green,Mint,Wall Street Wasteland,Purple Glow,64.17000269846285,126
127,None,None,None,Purple Party Shirt,Smize,Chubby Cheeks,Gradient 2,Pink,Donut World,None,4.003274584408853,127
128,None,Og Spacecrown,Watch,Owls Tee,Relieved,Smirk,Light Green,Pink,Donut World,None,32.195220384288284,128
129,None,None,None,Orange Gameshow,Pink Party Glasses,Smirk,Light Blue,Plaid Blue,Donut World,None,5.964608768659185,129
130,None,None,None,Astronaut,Green Party Glasses,Whiskers,White,Pink,Donut World,None,5.47813830365893,130
131,Pterodactyl,None,Spear,Leaf,Cyclopse Lizard,Smirk,Snow Leopard,Skin,Dino World,None,55.55454909014267,131
132,Iguana,None,None,Astronaut,Green Party Glasses,Sad,Orange,Turquoise,Donut World,None,23.21676550474808,132
133,Best Friend,None,Piercings,Stained Sweat Shirt,Cyclopse Lizard,Oo,Purple Sand,Rock,Dino World,None,56.789987597635594,133
134,Monkey,None,None,Green Hoodie,Neutral,Omg,Purple,Light Blue,Donut World,None,18.87833211166784,134
135,None,None,Shark Tooth Necklace,Fur,Gold Tinted Glasses,Sad,Mint Green,Flowy Pink,Dino World,None,38.637437579754234,135
136,None,None,None,Og Ski Jacket,Pink Party Glasses,Meow,Light Blue,Flowy Orange,Donut World,None,7.837411055173757,136
137,Puppy,Rainbow Spacecrown,Zzz,Space Force,Smize,Sad,Gradient 4,Flowy Green,Donut World,None,53.211618380013036,137
138,Kitty,Yellow Bucket,Scarf,Johnalin Tank,Neutral,Meow,Light Green,Purple,Donut World,None,49.53936444459647,138
139,None,None,None,Cozy Sweater 2,Happy,Robo,Orange,Flowy Purple,Donut World,None,4.229495142248726,139
140,None,None,None,Red Gameshow,Neutral,Smirk,Orange,Pink,Donut World,None,1.032816357215652,140
141,None,Purple Coolman,None,Nude,Happy,Whiskers,Gradient 2,Purple,Donut World,None,16.901835385707432,141
142,None,None,None,Orange Ski Jacket,Happy,Smiling,Gold,Beach,Donut World,None,3.4622206526994104,142
143,Trex,None,Backpack,Nude,Cyclopse Lizard,Sabertooth,Light Grey,Cave,Dino World,None,56.36592408804933,143
144,None,None,None,None,None,None,Iggy,Coffee Shop,None,None,28.878884780452825,144
145,None,Ear Loops,None,Yeti Suit,Pink Party Glasses,Omg,Red,Plaid Pink,None,Blue,65.04670888873756,145
146,None,None,Piercings,Banana Suit,Sus,Chubby Cheeks,Gradient 2,Trippy Dark,None,None,42.598562243380485,146
147,None,Blue Coolman,Pink Fanny Pack,Pink Party Shirt,Green Party Glasses,Kissy,Orange,Orange,Donut World,None,32.8660843667902,147
148,None,Green Coolman,Face Tats,Red Gameshow,Sus,Smirk,Gradient 1,Purple,Donut World,None,35.13686914623443,148
149,None,None,None,Red Gameshow,Gold Tinted Glasses,Smiling,Gradient 2,Flowy Green,Donut World,None,7.582631050237611,149
150,Skeleton,Blue Mohawk,Bushy Brows,Pink Wizard,Mascara,Joy,Sea Foam,Stay Special Yellow,Wall Street Wasteland,None,75.07705206831913,150
151,None,Blue Space Sailor,Alien Bling,Urspecial Pinkpurple,3d Glasses,Smirk,Light Blue,Blue,Donut World,None,33.7167137766224,151
152,Monkey,Yellow Coolman,Watch,Urspecial Green,Purple Party Glasses,Kissy,Light Green,Flowy Pink,Donut World,None,51.47684972625913,152
153,Snail,Antenna,None,Urspecial Pinkpurple,Smize,Meow,Yellow,Light Blue,Donut World,None,35.47182071838376,153
154,None,None,Pink Fanny Pack,Owls Tee,Green Party Glasses,Neutral,Purple,Pink,Donut World,None,19.755075036447227,154
155,Goo,None,None,Red Wizard,Neutral,Joy,Sea Foam,Stay Special Pink,Wall Street Wasteland,Orange Glow,65.3818428378248,155
