,Earrings,Hat,Hair,Neck,Top,Hex,Background,???,Cover,Face Accessory,Brooch,Mouth Piece,Extraordinary,Rarity score,Token Id
8604,None,Red Bandana,Ziv,Black Links,Grey Shirt,0xF8C3A2,Turkish Rose,Y,Daddy,Aviator,None,None,None,45.347295493446794,8604
8605,Death,Beaded Purse,Iseul,None,None,0x000000,Viridian,X,Pastel Windbreaker,Tassles,None,None,None,36.94288125383988,8605
8606,Black Pearl,None,Jae,None,Green Ropes,0xF8C3A2,Pink Sherbet,X,None,None,None,None,None,6.3083779366271795,8606
8607,Checker Chain,None,Eun,None,Grey Shirt,0x000000,Maroon Oak,Y,Punk,None,None,Cigarette,None,56.410917299211945,8607
8608,None,Sakkat,Cade,None,Black Tank,0xF8C3A2,Maroon Oak,Y,Pink Denim,None,None,None,None,30.286406496029155,8608
8609,Big Gold Chain,None,Daisy,None,Strawberries and Cream,0xF9C9BD,Azure,X,Silver Surfer,None,None,None,None,16.06108079663406,8609
8610,None,Crown Of Thorns,Tyler,None,Shhh,0xF8C3A2,Neptune,Y,Moto,None,Black Flower,None,None,54.71814822001389,8610
8611,Double Emerald,Gold Domes,Ki,Belt Choker,None,0xF8C3A2,Deep Cove,X,Green Leather Studs,HUD,None,None,None,40.25606658717617,8611
8612,Basic Chain,Astro,Eun,Silver Links,Snake,0xF8C3A2,Turquoise,Y,Future Formal,Aviator,None,None,None,51.37264900340009,8612
8613,None,Sun Hat,Gi,Teal Cross,Purple Leopard Heart,0xF8C3A2,Maroon Oak,X,Doll,Red Bling,None,None,None,37.1055078756552,8613
8614,Left Red Stud,Astro,Bruno,Studded Collar,70s,0xAA7560,Pale Lime,Y,None,HUD,None,None,None,45.763794869486425,8614
8615,Big Gold Chain,Tie Dye Headband,Aera,None,Zipcy Runner,0xF9C9BD,Aubergine,X,None,Rimless Shades,None,None,None,23.079135767892275,8615
8616,Big Gold Dangler,Hoop Beret,Jee,Cat Collar,Black Shhh,0xF9C9BD,Cinereous,X,None,Pink Flames,None,None,None,33.01196997703209,8616
8617,Big Gold Chain,Golden Bird,Cleo,Belt Choker,Rainbow Exo,0xF8C3A2,Pale Lime,X,None,Rimless Shades,None,None,None,33.03643809299155,8617
8618,Big Cuffs,None,Easton,None,Snake,0xAA7560,Rubber Ducky,Y,None,Professor,None,None,None,24.668011744065435,8618
