,Misc,Hands,Hair Color,Hair,Eyebrows,Mouth,Lashes,Eye Color,Eyes,Top,Body,Background,Hat,Pet,Hair Clip,Sunglasses,Eyewear,Costume,Piercing,Whole Head Hat,Unique,Artist,Rarity score,Token Id
15061,Blush,None,None,Bald Udi,Chill,Shocked,True,Black,Knowing Left,Sweater Vest Brown Gold Heart Clip,Tiramisu,Pinboard,None,None,None,Round Gold Tinted Black,None,None,None,None,None,None,36.6864829206109,15061
15062,Beauty Mark,Simple Paw,None,Bald Udi,Concerned,Happy Wide,False,Black,Delighted,Hoodie Teardrop,Black Sesame,Stars Blue Purple,None,None,None,None,None,None,None,None,None,None,30.97973072551257,15062
15063,None,Dango Mitarashi,Ginger,Aristocrat,Pien Short,Full Catmouth,True,Black,Looking Left,Hoodie Striped Yellow Tubby,Latte,Pawprint White Pink,None,None,None,None,None,None,None,None,None,None,40.352559595851154,15063
15064,None,None,None,Bald Udi,Surprised,Full Catmouth,False,Black,Cat Half Lidded,Varsity Jacket Black,Black Sesame,Solid,Beret Hat Teal,Tubby Baby Ube,None,None,None,None,None,None,None,None,39.555334375329714,15064
15065,None,None,Brown,Glam Rock,Determined,Fanged Smile,True,Black,Looking Right,Trad Artist Teal,Tiramisu,Tubby Crowd Mint,None,None,None,None,None,None,None,None,None,None,27.052193111590466,15065
15066,None,None,Magenta,Short Parted Fringe,Determined,Feather Toy,False,Black,Dot,Hoodie Striped Red Tubby,Raspberry,Grid Pink,None,None,None,None,None,None,None,None,None,None,25.66780854101279,15066
15067,None,None,None,Bald Udi,Chill,Fishbone,True,Light Green,Detailed,Sweater Vest Green Gold TC Clip,Matcha,Grid Dark Green,None,None,None,None,None,None,None,None,None,None,26.83508343340823,15067
15068,None,None,Bubblegum Pink,Twintails,Angry Cute,Smirk,True,Orange,Half Lid,Spiked Collar Pink,Latte,Star Pattern Pink,None,None,None,None,None,None,None,None,None,None,40.2505953136598,15068
15069,None,None,Silver,Wolf Cut,Determined,Fishbone,True,Black,Sleepy,Tubby Sweater Vest Black,Black Sesame,Tiny Heart Grey,None,None,None,None,None,None,None,None,None,None,29.855323425187642,15069
15070,None,None,Medium Blonde,Long Spiky,Surprised,Wide Cute,True,Black,Cat,Hoodie Blue Blush Emote,Vanilla,Pawprint White Light Blue,None,None,None,None,None,None,None,None,None,None,29.304506568903427,15070
15071,Blush,Plush Tubby,Blue,Aristocrat,Determined,Raspberry,False,Black,Sweetheart,None,Mochi,Hearts Pattern Blue,None,None,None,None,None,Bunny Pink,None,None,None,None,56.80907714117905,15071
15072,None,None,White,Emo,Determined,W,True,Pink,Half Lid,Kimono Sakura Trees,Mint,Cherry Blossoms,None,None,None,None,None,None,None,None,None,None,38.699152883530665,15072
15073,Blush,None,Blonde,Short Messy Flared,Concerned,Tongue,True,Yellow,Detailed,Sweater Vest Yellow Sunflower,Pudding,Tubby Pattern Ube,None,None,None,None,None,None,None,None,None,None,43.40937614969212,15073
15074,Blush,Lollipop Green,None,Bald Udi,Relaxed,Meh,False,Green,Detailed,Overalls Green,Matcha,Goopy Green White,Spilled Ice Cream Matcha,None,None,None,None,None,None,None,None,None,55.07951978027595,15074
15075,Cheek Freckles,None,Black,Hipster,Determined,Fried Egg,True,Black,Knowing Right,Hoodie Striped Red Tubby,Mochi,Fluffy Clouds Blue,Fast Food Visor,None,None,None,None,None,None,None,None,None,49.7469071424038,15075
15076,None,Marshmallow Stick,Brown,Short Mid Part,None,Special,None,Black,Special,Puffer Jacket Brown Yellow,Matcha,Solid,None,None,Flower Pink Teal,None,None,None,None,None,None,None,59.103928058705954,15076
15077,None,None,None,Bald Udi,None,Special,None,Black,Special,None,Blue Raspberry,Solid,None,Whale,None,None,None,None,None,None,None,None,32.6597100290896,15077
15078,None,Wizard Orb,Ice Blue,Short Blunt,Relaxed,Happy Wide,True,Orange,Half Lid,Comfy Blanket Blue Black,Latte,Solid,None,None,Heart Blue,None,None,None,None,None,None,None,64.91864119820328,15078
