,Misc,Hands,Hair Color,Hair,Eyebrows,Mouth,Lashes,Eye Color,Eyes,Top,Body,Background,Hat,Pet,Hair Clip,Sunglasses,Eyewear,Costume,Piercing,Whole Head Hat,Unique,Artist,Rarity score,Token Id
12489,Blush,None,None,Bald Udi,Sad,Teeth,False,Black,Tubby,Sailor Black Bloody,Mochi,Starry Blue,Cat Hat Black,Rat Red,None,None,None,None,None,None,None,None,45.931969940108424,12489
12490,None,None,Light Purple,Fluffy Mid Bangs,Angry Furrowed,Full,False,Black,Long Pupils,Sailor Pink,Bubblegum,Solid,None,None,None,Hearts Transparent Purple,None,None,None,None,None,None,38.16028572170431,12490
12491,None,None,Light Blonde,Glam Rock,Angry Furrowed,Piercings,False,Brown,Half Lid,#1 Tubby Badge Yellow,Latte,Galaxy Grid Pink,None,None,None,None,None,None,None,None,None,None,35.5603020640127,12491
12492,None,Claw,None,Bald Udi,Ayo Thick,Wide,True,Yellow,Detailed,Winter Coat White,Mochi,Sparkles Gradient Cool Purple,None,None,None,None,None,None,None,None,None,None,35.71501190326312,12492
12493,Blush,None,None,Bald Udi,Big Round,Tongue Down,False,Pink,Chill,Tubby Vest Cotton Candy,Mochi,Tubby Crowd Mint,Bisket Hat Pink,None,None,None,None,None,None,None,None,None,39.93528345000342,12493
12494,None,None,Purple,Side Bun,Sad,Happy Small,False,Black,Plush,Ribboned Shirt Purple Black,Ube,Stars Purple,None,None,Tubby Head Ube,None,None,None,None,None,None,None,40.02262729193212,12494
12495,None,None,White,Fluffy Short,Concerned,Shocked,True,Black,Long Pupils,Fancy Shirt Grey,Black Sesame,Mountain Field,None,None,None,None,None,None,None,None,None,None,26.429377890433404,12495
12496,None,None,Medium Blonde,Aristocrat,Neutral,Wide Cute,True,Black,Tired,Hoodie Tubby Cotton Candy,Cotton Candy,Dots Pink,None,None,None,None,None,None,None,None,None,None,28.327820567735657,12496
12497,Blush,Maneki Neko,Purple,Side Bun,Pien,Shocked,False,Black,Pie,Hoodie Striped Purple Tubby,Latte,Magic Moon Purple,None,None,Eye Ribbon Purple,None,None,None,None,None,None,None,57.36189022704953,12497
12498,None,None,Pink,Short Blunt,Ayo Thin,Wide Cute,True,Teal,Detailed,Grandpa Pink,Tiramisu,Pawprint Stripes Pink,None,None,None,None,None,None,None,None,None,None,39.28795857751574,12498
12499,None,None,Black,Emo,Worried,Big Meh,False,Black,Droopy,None,Mochi,Solid,None,None,None,None,None,Cowboy Black,None,None,None,None,33.1239288189962,12499
12500,None,None,Dark Blue,Afro,Big Round,Fanged Smile,False,Grey,Chill,Cape Light Blue,Blue Raspberry,Pawprint Stripes Light Blue,None,None,Heart Blue,None,None,None,None,None,None,None,54.916844245225704,12500
12501,None,Wizard Orb,None,Bald Udi,Big Round,Happy,True,Black,Half Lidded,Chunky Turtleneck Light Blue,Tiramisu,Hearts Pattern Blue,None,None,None,None,None,None,None,None,None,None,26.398226742844162,12501
12502,Blush,None,None,Bald Udi,Sad,Full Catmouth,False,Black,Relaxed,Sweater Vest Brown Gold Heart Clip,Tiramisu,Cookies,Devil Horns Teal,None,None,None,Face Bandages Teal Pink,None,None,None,None,None,47.40344573163956,12502
12503,None,None,None,Bald Udi,Worried,Wide Cute,False,Black,Tubby,Tubby Sweater Vest Purple Yellow,Black Sesame,Grid Purple,None,None,Tubby Omanjuu Black Sesame,None,None,None,None,None,None,None,27.973724394510835,12503
12504,None,Paws Together,Dark Green,Mohawk,Sad,Nervous,True,Black,Looking Down,Headphones Green Black,Matcha,Tubby Pattern Matcha,None,None,None,None,None,None,None,None,None,None,40.63444831264867,12504
12505,None,Simple Paw,None,Bald Udi,Neutral,Tongue,False,Black,Knowing Right,Hoodie White Pink Flames,Mochi,Star Clouds Pink,None,None,None,None,None,None,Safety Pin Pink,None,None,None,38.91375776634553,12505
12506,Decora Pink Teal Yellow,None,None,Bald Udi,Ayo Thin,Yarn Ball,False,Yellow,Plush,Cute Hoodie,Mint,Pawprint Pink,None,None,None,None,None,None,None,None,None,None,32.489157458745446,12506
12507,Blush,None,Platinum Blonde,Short Fringe,Ayo Thick,W,False,Light Blue,Plush,None,Cotton Candy,Solid,None,None,None,None,None,Bunny Blue,None,None,None,None,54.05410436455732,12507
12508,Blush,None,None,Bald Udi,None,Special,None,Black,Special,Frilly Dress Pink,Blue Raspberry,Gradient Blue,None,None,None,None,None,None,None,None,None,None,24.828523311000357,12508
12509,None,None,Blonde,Short Blunt,Angry Furrowed,Wide,False,Purple Yellow,Plush,Sweater Vest Yellow Pink Heart Clip,Ube,Hearts Pattern Purple,None,None,None,Hearts Solid Purple,None,None,None,None,None,None,54.642955701805164,12509
12510,Blush,None,Black,Flared Sides Short,Sad,Piercings,False,Black,Squint,Biker Jacket,Black Sesame,Solid,None,None,Baby Tubby Black Sesame,None,None,None,None,None,None,None,40.19649264201464,12510
12511,Blush,Bubble Tea Ube,Medium Blonde,Aristocrat,Angry Furrowed,Raspberry,True,Black,Sleepy,Winter Coat Iridescent,Ube,Gradient Purple,None,None,Eye Ribbon Purple,None,None,None,None,None,None,None,62.618627628598375,12511
12512,None,Claw,Dark Blue,Tiny Braids,Concerned,Meh,False,Pink,Droopy,Varsity Jacket Pink,Bubblegum,Spraypaint,None,None,None,None,None,None,None,None,None,None,50.95957753225683,12512
12513,None,Maneki Neko,Blonde,Loose Twintails,Sad,Surprised,False,Black,Detailed,Hoodie Cheese,Strawberry,Solid,Beret Hat Teal,None,None,None,None,None,None,None,None,None,45.74451597857001,12513
12514,None,Soda Pear,Lilac,Emo,Angry Thin,Big Meh,False,Light Green,Detailed,Tee Frog,Matcha,Gradient Purple,None,None,Flower Pink Teal,None,None,None,None,None,None,None,66.94485081391538,12514
12515,None,None,None,Bald Udi,Relaxed,W,True,Yellow,Detailed,Kimono Red White,Latte,Tiger,Hachimaki Red,None,None,None,None,None,None,None,None,None,41.43077471366784,12515
12516,Blush,None,Light Pink,Mohawk,Angry Thin,Vampire,False,Black,Tired,Tubby Maid Dress Pink,Tiramisu,Solid,None,None,None,None,None,None,None,None,None,None,22.56068637182881,12516
12517,None,None,Ginger,Long Spiky,Ayo Thick,Happy Wide,False,Black,Looking Left,Sweater Vest Blue Silver Star Clip,Blue Raspberry,Solid,None,None,None,None,None,None,None,None,None,None,19.20780319421476,12517
12518,None,None,Purple,Aristocrat,Worried,Vampire,False,Black,Dot,Tubby Overalls Ube,Ube,Solid,None,None,None,None,None,None,None,None,None,None,18.04513916163622,12518
12519,Beauty Mark,None,White,Mohawk,Surprised,Tongue Down,True,Black,Tired,Tubby Sweater Vest Red,Tiramisu,Constellation,None,None,None,None,None,None,None,None,None,None,34.81352457553043,12519
12520,Cheek Freckles,None,Black,Twintails,Sad,Clearly,True,Black,Sweetheart,Sweater Vest Red Gold Heart Clip,Mochi,Solid,None,None,None,None,None,None,None,None,None,None,27.6209013989893,12520
12521,Blush,Maneki Neko,Blonde,Short Blunt,Worried,W,True,Black,Squint,Cravat With Brooch Light Blue,Mochi,Fancy Red,None,None,None,None,None,None,Moon Earring,None,None,None,61.35011785283331,12521
12522,Whiskers,None,None,Bald Udi,Big Round,Happy Wide,True,Black,Cat,Sweater X Sleeve Teal,Mint,Solid,None,None,None,None,None,None,None,None,None,None,17.07195650755943,12522
12523,None,None,None,Bald Udi,Pien,Happy Nervous,False,Black,Half Lidded,Heart Choker Black,Bubblegum,Triangles Orange,Pimp Hat Tiger,None,None,Round Gold Tinted Black,None,None,None,None,None,None,45.00439801026103,12523
12524,None,None,None,Bald Udi,Ayo Thin,Full,False,Black,Cat Looking Up,Dad Shirt Flannel Red,Black Sesame,Constellation,Fedora,None,None,None,None,None,None,None,None,None,26.12520929495939,12524
12525,Blush,None,Purple,Side Bun,Relaxed,Eh,False,Purple,Detailed,Sweater Vest Black Gold TC Clip,Cotton Candy,E-Girl,None,None,None,None,None,None,Bar Ear Piercing,None,None,None,59.696888715395126,12525
12526,Decora Green Orange,None,Brown,Bedhead,Chill,Pencil,True,Light Green,Detailed,Ribbon Tie Seifuku Green,Matcha,Solid,None,None,None,None,None,None,None,None,None,None,45.008803925636165,12526
12527,Blush,Point,None,Bald Udi,None,Special,None,Black,Special,Hoodie Teardrop,Tiramisu,Gradient Blue,None,None,None,None,None,None,Double Ear Piercing Right,None,None,None,55.690984269714775,12527
12528,Blush,None,Black,Blunt Bangs,Concerned,Default,True,Black,Pie,Tubby Maid Dress Pink,Mochi,Hearts Pattern Pink,None,None,Tubby Bow Pink,None,None,None,None,None,None,None,46.27214467106111,12528
12529,Cheek Freckles,None,Platinum Blonde,Short Fringe,Ayo Thick,French Fries,True,Black,Cat,Ribboned Shirt Yellow White,Vanilla,Solid,Japanese Literary Hat,None,None,None,None,None,None,None,None,None,47.933559954537536,12529
12530,None,Tubby Puppet Cotton Candy,Teal,Glam Rock,Ayo Thick,Wide,False,Black,Cat Looking Up,Winter Coat Teal,Tiramisu,Solid,None,None,None,None,None,None,None,None,None,None,30.49006693227392,12530
12531,Whiskers,Peace Sign,None,Bald Udi,Concerned,W,False,Black,Knowing Left,Sweater Vest Yellow Gold TC Clip,Pudding,Tubby Pattern Pudding,None,None,None,None,None,None,None,None,None,None,29.632040901278163,12531
12532,Blush,Lollipop Hot Pink,Teal,Blunt Bangs,Angry Thin,Raspberry,True,Black,Cat Half Lidded,Jacket Teal Tubby Studs Blue,Cotton Candy,Gradient Pink,None,None,None,None,None,None,None,None,None,None,45.71155493884479,12532
12533,None,None,White,Short Blunt,Big Round,Pout,True,Black,Relaxed,Pearl Necklace,Mochi,Solid,None,None,None,None,None,None,None,None,None,None,18.775772003613202,12533
12534,None,None,Ginger,Aristocrat,Big Round,French Fries,False,Black,Half Lid,Chunky Turtleneck Orange,Latte,Solid,None,None,None,None,None,None,None,None,None,None,16.922514047760128,12534
12535,None,None,None,Bald Udi,Sad,Letter Skull,True,Black,Looking Right,Open Coat Black,Mochi,Dotted Paper Grey,Beanie Black,None,None,None,None,None,None,None,None,None,27.310728362454377,12535
12536,Cheek Freckles,None,None,Bald Udi,Determined,Full,False,Grey,Plush,Cloak Dark Blue,Black Sesame,Mountain Field,None,Penguin Blue,None,None,None,None,Double Ear Piercing Right,None,None,None,68.72957242878076,12536
12537,Blush,None,Indigo,Double Buns,Neutral,Shocked,False,Black,Knowing Left,Puffer Jacket Purple White,Ube,Tubby Crowd Matcha,None,None,None,None,None,None,None,None,None,None,28.368856474475905,12537
12538,None,None,White,Mohawk,Pien Cute,Wide,False,Black,Half Lidded,Sweater Straps White,Mochi,Pawprint White Yellow,None,Sheep White,None,None,None,None,None,None,None,None,38.51510479658399,12538
12539,None,None,White,Fluffy Short,Relaxed,Happy,False,Black,Pie,Tee Rainbow Tie Dye,Mochi,Dreamy Rainbow,Rainbow Cloud,None,None,Round White Tinted Sunset,None,None,None,None,None,None,54.52395419184477,12539
12540,None,None,Medium Blonde,Aristocrat,Concerned,Frightened,False,Black,Relaxed,Sweater Vest Yellow Sunflower,Mochi,Gradient Pink,Traffic Cone,None,None,None,None,None,None,None,None,None,36.46091774578725,12540
12541,None,Lollipop Red,Maroon,Mohawk,Pien Short,Shocked,True,Black,Long Pupils,Sweater Straps Maroon,Latte,Onigiri,None,None,None,None,None,None,None,None,None,None,39.65175781913125,12541
12542,None,None,Bright Pink,Long Mid Part,Pien,Piercings,False,Pink Leak,Tubby,Sweater Vest Black Silver Heart Clip,Ube,E-Girl,None,None,None,None,None,None,None,None,None,None,37.727587429747075,12542
12543,None,None,None,Bald Udi,Determined,Toothy,False,Black,Detailed,Sweater Tubby Logo Teal White Sleeves,Mint,Solid,None,None,None,None,None,None,None,None,None,None,2.6924317468533325,12543
12544,Decora Pink Teal Yellow,None,Teal,Long Mid Part,Neutral,Meh,False,Black,Pie,Layered Jacket Yellow Grey,Mochi,Gradient Pink,None,None,None,None,None,None,None,None,None,None,30.557143891654004,12544
12545,Cheek Freckles,Scritch,Grey,Pop Star Bowl Cut,Pien Cute,Grin,False,Black,Chill,Hoodie Drip Rainbow,Mochi,Tubby Crowd Black Sesame,Mushroom,None,None,None,None,None,None,None,None,None,57.55088097131185,12545
12546,Blush,None,Pink,Glam Rock,Pien Short,Fanged Smile,False,Teal,Plush,Casual Dress Pink,Mint,Simple Flowers Pink,None,None,None,None,None,None,None,None,None,None,40.42652694063161,12546
12547,None,None,None,Bald Udi,Ayo Thick,Pien,False,Teal,Detailed,Pimp Coat Cheetah,Silver,Silver,None,None,None,None,None,None,None,None,None,None,23.214291601650743,12547
12548,Decora Purple Yellow,None,Light Purple,Fluffy Mid Bangs,None,Special,None,Black,Special,Chain Necklace Gold,Pudding,Gradient Dots Yellow,None,Tubby Baby Pudding,Tubby Bow Yellow,None,None,None,None,None,None,None,80.42451708316241,12548
12549,None,None,Ginger,Twintails,Worried,Happy,False,Light Blue,Half Lid,Sweater Vest Blue Silver Heart Clip,Blue Raspberry,Fluffy Clouds Blue,None,None,None,None,None,None,None,None,None,None,36.1351198406221,12549
12550,Blush,Point,None,Bald Udi,Ayo Thick,W,False,Orange,Plush,Blanket Wrap Bunny Orange,Latte,Solid,None,None,None,None,None,None,None,None,None,None,34.020535135121705,12550
12551,Whiskers,None,None,Bald Udi,Angry Cute,Unimpressed,False,Black,Cat Looking Up,Hoodie Citrus,Matcha,Citrus,None,None,None,None,None,None,None,None,None,None,18.362736825140956,12551
12552,Blush,None,Blonde,Loose Twintails,Surprised,Shocked,False,Black,Looking Away,Ribboned Shirt Yellow White,Vanilla,Pawprint Yellow,Japanese Literary Hat,None,None,None,None,None,None,None,None,None,43.79623487179843,12552
12553,Beauty Mark,Coffee,None,Bald Udi,Pien Short,Happy,True,Black,Cat Half Lidded,Hoodie Pudding,Pudding,Solid,Pudding,None,None,None,None,None,None,None,None,None,44.759422044689764,12553
12554,Decora Brown,None,None,Bald Udi,Ayo Thin,Croissant,True,Brown,Detailed,Sweater Vest Green,Matcha,Flower Field,Beret Hat Green,None,None,None,None,None,None,None,None,None,52.210655277627524,12554
12555,Blush,Lollipop Red,Red,Glam Rock,Ayo Thick,Unsure,False,Black,Plush,Plain Sailor White Navy,Mochi,Star Clouds Blue Yellow,None,None,None,None,None,None,None,None,None,None,37.74953977321538,12555
12556,Blush,None,None,Bald Udi,Angry Furrowed,Full,False,Black,Tired,Belts,Black Sesame,Dots Grey,None,None,None,None,None,None,None,None,None,None,14.671984969090863,12556
12557,None,None,None,Bald Udi,Determined,Default,False,Pink,Droopy,Headphones Tubby Pink Blue,Pudding,Drippy Heart Star,None,None,None,Hearts Transparent Pink,None,None,Double Ear Piercing Right,None,None,None,60.18224551391089,12557
12558,None,None,White,Loose Twintails,Pien,Happy Wide,True,Black,Cat Looking Up,Hoodie 90s Pattern White,Mint,Water Teal,None,None,None,None,None,None,None,None,None,None,27.134203031614767,12558
12559,Decora Pink,None,Blonde,Loose Twintails,Angry Cute,Baby Tubby Matcha,False,Black,Cat,Open Coat Pink White,Latte,Solid,None,None,None,None,None,None,None,None,None,None,28.009957893383834,12559
12560,None,None,None,Bald Udi,Chill,Teeth,True,Black,Half Lidded,Pimp Coat Tiger,Black Sesame,Solid,Pimp Hat Tiger,None,None,None,None,None,None,None,None,None,24.972453320911765,12560
12561,None,Lollipop Purple,Dusty Purple,Long Side Part Wavy,Chill,Wide Cute,False,Purple,Chill,Hoodie Striped Purple Tubby,Ube,Solid,None,None,None,None,None,None,None,None,None,None,44.50400013041792,12561
12562,Cheek Freckles,None,Blue,Bedhead,Angry Furrowed,Happy Small,False,Black,Tubby,Hoodie Drip Blue,Blue Raspberry,Pawprint Blue,None,None,None,None,None,None,None,None,None,None,32.8483600270307,12562
12563,Cheek Freckles,Paws Together,None,Bald Udi,Sad,Happy Nervous,False,Black,Pie,Bathrobe Pink,Cotton Candy,Bathroom,None,None,Baby Tubby Black Sesame,None,None,None,None,None,None,None,47.496644518919034,12563
12564,Whiskers,Claw,None,Bald Udi,None,Special,None,Black,Special,Sweater Vest Brown Gold Star Clip,Pudding,Gradient Dots Yellow,None,None,None,None,None,None,None,None,None,None,40.302999670962485,12564
12565,Blush,Lollipop Purple,Purple,Short Blunt,Big Round,Default,False,Yellow,Detailed,Thick String Hoodie X Sleeves Galaxy,Ube,Dots Yellow,None,None,Decora Iridescent,None,None,None,None,None,None,None,69.62163676304432,12565
12566,None,None,None,Bald Udi,Pien,Surprised,False,Pink Yellow,Chill,None,Floating Pudding,Mountain Field,None,None,Tubby Bow Pink,None,None,None,None,None,None,None,40.511272800853924,12566
12567,None,Milk,None,Bald Udi,Ayo Thick,Wide Cute,False,Grey,Chill,Hoodie Striped Purple Tubby,Ube,Water Purple,None,None,None,None,None,None,None,None,None,None,34.52243185528125,12567
12568,Cheek Freckles,Tubby Puppet Black Sesame,White,Short Mid Part,None,Special,None,Black,Special,Hoodie Tubby Matcha,Matcha,Star Pattern Black,None,None,None,None,None,None,None,None,None,None,54.64090399562451,12568
12569,Blush,Maneki Neko,None,Bald Udi,Big Round,Big Meh,False,Black,Delighted,Puffer Jacket Yellow Black,Pudding,Pawprint White Yellow,Bisket Hat Yellow,None,None,None,Round Glasses Yellow,None,None,None,None,None,60.49719970515917,12569
12570,Beauty Mark,Lollipop Teal,Dark Teal,Side Bun,Angry Thin,W,False,Black,Squint,Puffer Jacket Brown Yellow,Tiramisu,Solid,None,None,Bear,None,None,None,None,None,None,None,57.14199066851909,12570
12571,None,None,Light Green,Mohawk,Pien,Teef,False,Black,Relaxed,Business Casual White Green,Matcha,Dots Green,None,None,None,None,None,None,None,None,None,None,23.737353917734282,12571
12572,None,None,None,Bald Udi,Ayo Thick,French Fries,False,Orange,Detailed,Sweater Vest Yellow,Vanilla,Dots Yellow,Detective Hat,None,None,None,None,None,None,None,None,None,38.480881738540944,12572
12573,None,None,None,Bald Udi,Pien,Happy,True,Black,Pie,Cape Red,Raspberry,Biscuits,Bisket Hat Pink,None,None,Round Gold Tinted Pink,None,None,None,None,None,None,48.91081824492176,12573
12574,None,Matcha,Dark Green,Mohawk,None,Special,None,Black,Special,Hoodie Pudding,Pudding,Solid,None,None,None,None,None,None,None,None,None,None,41.09005456392455,12574
12575,Blush,None,Teal,Fluffy Short,Pien,Raspberry,False,Black,Squint,None,Raspberry,Solid,None,None,None,None,None,Devil Red,None,None,None,None,41.26706445279493,12575
12576,None,Peace Sign,None,Bald Udi,Surprised,Full Catmouth,True,Black,Knowing Left,Dinosaur Hoodie Green,Matcha,Tubby Pattern Matcha,Bucket Hat Froggy,None,None,None,None,None,None,None,None,None,42.46241504402305,12576
12577,None,None,None,Bald Udi,Pien,Vampire,False,Black,Relaxed,Chunky Turtleneck Pink,Cotton Candy,Galaxy Grid Pink,Spilled Ice Cream Strawberry,None,None,None,None,None,None,None,None,None,25.016541997462866,12577
12578,None,Wizard Orb,Ice Blue,Short Blunt,Worried,Happy Wide,True,Light Blue,Detailed,Sweater Vest Blue Silver Heart Clip,Latte,Solid,None,None,None,None,None,None,None,None,None,None,47.51984107632056,12578
12579,None,Ice Cream Tubby,Green,Flared Sides Short,Angry Thin,Unimpressed,True,Black,Looking Right,Sweater Vest Pink,Mochi,Tubby Crowd Matcha,None,None,Lime Slice,None,Round Glasses Dark Green,None,None,None,None,None,74.45537147629477,12579
12580,None,Rocker,Blonde,Loose Twintails,Angry Thin,Toothy,False,Black,Looking Left,Overalls Yellow,Pudding,Dots Yellow,Japanese Literary Hat,None,None,None,None,None,None,None,None,None,51.1963723422387,12580
12581,None,None,Cool Pink,Flared Sides Short,Ayo Thick,Tongue Down,True,Black,Tubby,Pet Collar Pink,Cotton Candy,Gradient Pink,None,None,Narutomaki,None,None,None,None,None,None,None,46.470186826750556,12581
12582,Blush,Tubby Puppet Pudding,None,Bald Udi,Angry Thin,Nervous,True,Black,Cute,Tee Sparkle,Blue Raspberry,Solid,Heart Arrows Pink,None,None,None,None,None,None,None,None,None,42.0974346271427,12582
12583,Cheek Freckles,None,Purple,Side Bun,Pien Short,Unimpressed,False,Black,Tired,Tubby Vest Ube,Blue Raspberry,Gradient Dots Blue Pink,Beret Hat Blue,None,None,None,None,None,None,None,None,None,48.03169735477494,12583
12584,None,None,None,Bald Udi,Pien Cute,Eh,True,Black,Relaxed,Pajamas Galaxy,Cotton Candy,Star Clouds Pink,None,None,None,None,None,None,None,None,None,None,13.653237666274986,12584
12585,None,None,None,Bald Udi,Big Round,Toothy,True,Teal,Half Lid,Devil Wings Teal,Cotton Candy,Goopy Pink White,None,None,None,None,Halfrim Glasses Pink,None,None,None,None,None,44.274771890980304,12585
12586,Cheek Freckles,Tubster Can White,None,Bald Udi,Angry Cute,Happy,True,Black,Cat,Hoodie 90s Pattern White,Pudding,Solid,None,None,None,None,None,None,None,None,None,None,29.292144445703972,12586
12587,Whiskers,None,None,Bald Udi,Pien Short,Lollipop Pink,False,Black,Smug,Business Casual White Pink,Cotton Candy,Fluffy Clouds Blue,None,None,None,None,None,None,None,None,None,None,18.275739952687065,12587
12588,None,Rocker,None,Bald Udi,Determined,Vampire,False,Black,Relaxed,Dinosaur Hoodie Green,Matcha,Grid Green White,None,None,None,None,Round Glasses Dark Green,None,Double Ear Piercing Right,None,None,None,59.65358302562726,12588
12589,None,Banana,None,Bald Udi,Concerned,Nervous,False,Black,Dot,Sailor Navy Bloody,Raspberry,Tubby Pattern Pudding,Cap Red Blue,None,None,None,None,None,None,None,None,None,38.53392432944038,12589
12590,None,None,Medium Blonde,Long Spiky,Pien Cute,Nervous,False,Black,Dot,#1 Tubby Badge Yellow,Mochi,Solid,Apple Golden With Arrow,None,None,None,None,None,None,None,None,None,31.506614262176903,12590
12591,Blush,Sprout,Green,Loose Twintails,Angry Furrowed,Shocked,False,Black,Cat,Dinosaur Hoodie Green,Matcha,90s Pattern Black Dotted Paper,Tanuki Leaf,None,None,None,Round Glasses Green,None,None,None,None,None,75.23811931241954,12591
12592,Whiskers,None,None,Bald Udi,Concerned,Happy Wide,True,Black,Long Pupils,Hoodie Drip Blue,Latte,Gradient Blue,None,None,None,None,None,None,None,None,None,None,21.20569211004807,12592
12593,None,Taiyaki,None,Bald Udi,Surprised,Surprised,False,Black,Delighted,Sweater Vest Brown,Mochi,Pawprint Brown,Sprout,None,None,None,None,None,None,None,None,None,35.57296126391147,12593
12594,Blush,None,White,Mohawk,Neutral,Piercings,False,Black,Anime,Tubby Overalls Ube,Blue Raspberry,Star Clouds Purple,None,None,None,None,None,None,None,None,None,None,27.62308042568219,12594
12595,Blush,None,None,Bald Udi,Pien Cute,Pout,True,Light Green,Detailed,Open Shirt Green,Mochi,Solid,None,None,None,None,None,None,Double Ear Piercing Right,None,None,None,41.474610505434924,12595
12596,None,Resting,None,Bald Udi,Pien,Surprised,True,Grey,Half Lid,Sweater Vest Brown Gold Heart Clip,Pudding,Solid,None,None,None,None,Monocle Gold,None,None,None,None,None,50.05248511517021,12596
12597,None,None,None,Bald Udi,Determined,Bubblegum Pink,True,Black,Looking Away,Hoodie Teal,Mochi,Solid,None,None,None,None,None,None,None,None,None,None,6.269305646132059,12597
12598,None,None,None,Bald Udi,Angry Thin,Meh,True,Black,Long Pupils,Tubby Overalls Ube,Latte,Tubby Pattern Ube,None,None,None,None,None,None,None,None,None,None,13.281341205952902,12598
12599,Decora Pink,Pillow,Indigo,Double Buns,Relaxed,Wide,False,Black,Sleepy,Blanket Wrap Pink,Ube,Starry Pink,None,None,None,None,None,None,None,None,None,None,46.36743268286477,12599
12600,Blush,Lollipop Red,None,Bald Udi,Sad,Happy Nervous,True,Black,Looking Right,Sweater Vest Blue Silver Heart Clip,Latte,Solid,Mushroom,None,None,None,None,None,None,None,None,None,41.09976802432157,12600
12601,None,None,Light Teal,Bedhead,Pien Short,Eh,False,Pink Leak,Dizzy,Chunky Turtleneck Pink,Cotton Candy,Solid,None,None,Sakura,None,None,None,None,None,None,None,50.58858663209237,12601
12602,Blush,None,Blonde to Pink,Long Side Part Wavy,Sad,Croissant,False,Pink,Half Lid,Layered Jacket Brown Black,Tiramisu,Galaxy Grid Pink,None,None,Pillhead Pink,None,None,None,None,None,None,None,57.66475459569212,12602
12603,None,Balloon Blue,Ice Blue,Twintails,Angry Thin,Pout,False,Black,Looking Right,Hoodie Teardrop,Blue Raspberry,Pawprint Stripes Light Blue,None,None,Heart Blue,None,None,None,None,None,None,None,55.05888148401539,12603
12604,None,None,Blue Grey,Double Buns,Ayo Thin,Lollipop Red,True,Black,Cat Looking Up,Sweater Vest Red,Pudding,Solid,None,None,None,None,None,None,None,None,None,None,23.51434714407522,12604
12605,Beauty Mark,None,Ginger,Aristocrat,Ayo Thin,Toothy,True,Black,Dot,Open Shirt Green,Matcha,Gradient Dots Green,None,None,None,None,None,None,None,None,None,None,36.520975568671226,12605
12606,None,None,Teal,Glam Rock,Relaxed,Full Catmouth,False,Black,Relaxed,Winter Coat White,Mint,Tubby Pattern Mint,None,None,None,None,None,None,None,None,None,None,23.32749332030351,12606
12607,None,None,None,Bald Udi,None,Eh,False,Black,Looking Down,None,Circuit Teal,Solid,None,None,None,None,None,None,None,None,None,None,4.691870714644885,12607
12608,None,Resting,Dark Brown,Mohawk,Pien Short,W,False,Teal,Chill,Sweater Straps Brown,Tiramisu,Solid,None,None,None,None,Round Glasses Teal,None,None,None,None,None,61.263188670529466,12608
12609,Beauty Mark,None,None,Bald Udi,Chill,Fanged Smile,False,Black,Looking Away,Headphones Pink White,Tiramisu,Checker Heart Pink,None,None,None,None,None,None,None,None,None,None,17.643065284443125,12609
12610,None,None,Blonde,Short Blunt,Sad,Smirk,False,Black,Tired,Military Coat Blue,Pudding,Mountain Field,None,Hedgehog Blue,None,None,None,None,None,None,None,None,41.3750957220596,12610
12611,Blush,None,Black,Double Buns,Pien Short,Unsure,True,Grey,Half Lid,Chunky Turtleneck Red,Mochi,Solid,None,None,None,None,None,None,None,None,None,None,35.0663026719235,12611
12612,Blush,None,Black,Twintails,Sad,Raspberry,True,Black,Long Pupils,None,Mochi,Solid,None,None,None,None,None,Cheongsam,None,None,None,None,40.950979875101986,12612
12613,Blush,None,Ginger,Short Spiky,Angry Thin,Full,False,Black,Smug,Cape Red,Latte,Cheese,Sushi Salmon,None,None,None,None,None,None,None,None,None,44.60295614191384,12613
12614,None,None,None,Bald Udi,Big Round,Full,False,Black,Delighted,Maid Ruffled Black White,Strawberry,Solid,None,None,None,None,None,None,None,None,None,None,5.893517378506919,12614
12615,Cheek Freckles,None,Bright Blonde,Long Mid Part,Pien Short,Baby Tubby Ube,False,Purple,Detailed,Towel Black,Matcha,Bathroom,None,None,Tubby Head Matcha,None,None,None,None,None,None,None,62.40482019439769,12615
12616,None,None,Red,Fluffy Short,Sad,Frightened,False,Black,Pie,Hoodie Striped Red Tubby,Raspberry,Hearts Pattern Teal,None,None,Heart Bubble White,None,None,None,None,None,None,None,41.84696562660595,12616
12617,None,Lollipop Pink,White,Bows,Angry Thin,Unsure,True,Purple,Detailed,Cardigan Seifuku Blue Pink,Ube,Pawprint Blue,None,None,None,None,None,None,None,None,None,None,51.864162828767654,12617
12618,None,Taiyaki,Brown,Blunt Bangs,Neutral,Happy Small,True,Black,Tubby,Hoodie Bear,Tiramisu,Pinboard,None,None,None,None,None,None,None,None,None,None,40.43952761802688,12618
12619,Blush,None,None,Bald Udi,Ayo Thin,Surprised,True,Black,Cute,Jacket Pink Tubby Studs Pink,Ube,Solid,Bucket Hat Iridescent,None,None,None,None,None,None,None,None,None,28.57521867809209,12619
12620,Whiskers,None,None,Bald Udi,Pien,Pien,True,Black,Squint,Blanket Wrap Teal,Mint,Water Teal,None,Tubby Baby Mint,None,None,None,None,None,None,None,None,40.97777807670685,12620
