,Mouth,Clothes,Eyes,Fur,Background,Hat,Earring,Name,Rarity score,Token Id
11175,M1 Phoneme L,M1 Bone Necklace,M1 Wide Eyed,M1 Dark Brown,M1 Army Green,M1 Commie Hat,None,None,39.30765300302045,12412
11176,M1 Grin,M1 Blue Dress,M1 Coins,M1 Death Bot,M1 Yellow,M1 Prussian Helmet,M1 Gold Stud,None,87.58968875972201,12414
11177,M2 Grin,M2 Blue Dress,M2 Coins,M2 Death Bot,M2 Yellow,M2 Prussian Helmet,M2 Gold Stud,None,98.406524274535,12415
11178,M1 Bored Cigarette,M1 Bone Necklace,M1 Wide Eyed,M1 Golden Brown,M1 New Punk Blue,M1 Short Mohawk,None,None,39.93906551532184,12416
11179,M1 Bored,M1 Service,M1 Heart,M1 Zombie,M1 Army Green,None,None,None,22.760920560161164,12420
11180,M1 Grin,M1 Navy Striped Tee,M1 Sleepy,M1 Golden Brown,M1 Blue,M1 Bowler,M1 Cross,None,83.41723058769695,12424
11181,M2 Grin,M2 Navy Striped Tee,M2 Sleepy,M2 Golden Brown,M2 Blue,M2 Bowler,M2 Cross,None,97.16715218940372,12425
11182,M1 Bored Kazoo,M1 Cowboy Shirt,M1 3d,M1 Pink,M1 Army Green,M1 Prussian Helmet,None,None,45.94236234847591,12428
11183,M1 Bored,M1 Navy Striped Tee,M1 Bored,M1 Black,M1 Orange,None,None,None,10.81420291469294,12430
11184,M1 Bored,M1 Admirals Coat,M1 Bloodshot,M1 Dark Brown,M1 Orange,M1 Safari,M1 Silver Stud,None,70.62591160708212,12434
11185,M1 Bored Cigarette,M1 Bandolier,M1 Scumbag,M1 Black,M1 Purple,M1 Beanie,None,None,37.87448191084717,12436
11186,M1 Bored Unshaven,M1 Prison Jumpsuit,M1 Closed,M1 Noise,M1 Aquamarine,M1 Beanie,None,None,36.27091794004955,12438
11187,M1 Bored,M1 Lumberjack Shirt,M1 Bored,M1 Brown,M1 New Punk Blue,M1 Fez,None,None,23.3220838196345,12440
11188,M1 Bored Unshaven Cigarette,M1 Sleeveless T,M1 Sunglasses,M1 Zombie,M1 Purple,M1 Fez,M1 Silver Stud,None,85.35814578240876,12442
11189,M1 Bored,M1 Black T,M1 Sad,M1 Golden Brown,M1 Army Green,M1 Sea Captain's Hat,M1 Gold Hoop,None,75.18590178001404,12444
11190,M1 Dumbfounded,M1 Service,M1 Robot,M1 Dark Brown,M1 Orange,None,None,None,26.40234406596644,12446
11191,M1 Grin Multicolored,M1 Hawaiian,M1 Blindfold,M1 Zombie,M1 Orange,M1 Sushi Chef Headband,None,None,46.28646021573764,12450
11192,M2 Grin Multicolored,M2 Hawaiian,M2 Blindfold,M2 Zombie,M2 Orange,M2 Sushi Chef Headband,None,None,54.25739819583042,12451
11193,M1 Bored,M1 Prison Jumpsuit,M1 Bored,M1 Dmt,M1 Army Green,M1 Army Hat,None,None,29.091628858742567,12452
11194,M1 Bored Unshaven,M1 Sailor Shirt,M1 Holographic,M1 Brown,M1 Purple,M1 Vietnam Era Helmet,M1 Gold Hoop,None,78.15573485450149,12454
11195,M1 Phoneme Oh,M1 Puffy Vest,M1 Bored,M1 Cheetah,M1 Aquamarine,M1 Commie Hat,None,None,37.92793433484808,12456
11196,M1 Bored Unshaven,M1 Tweed Suit,M1 Sad,M1 Noise,M1 Orange,M1 Beanie,M1 Cross,None,82.48522189923594,12458
11197,M2 Bored Unshaven,M2 Tweed Suit,M2 Sad,M2 Noise,M2 Orange,M2 Beanie,M2 Cross,None,96.89656167095062,12459
11198,M1 Bored Unshaven Party Horn,M1 Guayabera,M1 Blindfold,M1 White,M1 Gray,None,M1 Silver Stud,None,75.33298729035369,12460
11199,M2 Bored Unshaven Party Horn,M2 Guayabera,M2 Blindfold,M2 White,M2 Gray,None,M2 Silver Stud,None,84.84376031169192,12461
