,Gender,Background,Eyewear,Hats,Clothing,Mouth,Fur,Eyes,Earring,Rarity score,Token Id
103,Doge,Red,Sunglasses,None,Bandana,Grrrrr,Snow,Covered,None,32.923488977198915,103
104,Doge,Gray,Retro Glasses,Afro Hair,None,Grrrrr,Black,Covered,None,37.81499821270452,104
105,Doge,Orange,Sunglasses,Spike Hair,Tie,Bone,Wave,Covered,None,44.463312226556425,105
106,Doggo,Beige,None,None,Scarf,Original,Coffee,Puppy Eyes,None,16.211730948906386,106
107,Doggo,Red,None,Fox Mask,Scarf & T-shirt,Original,Iceberg,Robot,None,29.390423170006684,107
108,Doge,Gray,None,Sleeper Cap,Padded Vest,Beauty,Original,Focused,Ruby Earring,62.079285506702185,108
109,Doge,Beige,None,Baseball Cap,V-Neck,Party Horn,Tiger,Tired,None,31.08584754609752,109
110,Doge,Green,None,Turban,V-Neck,Smile,Spot,Focused,None,27.313729180323342,110
111,Doge,Orange,Sunglasses,Army Hat,Scarf & T-shirt,Pierced,Wave,Covered,None,47.55416530187455,111
112,Doggo,Lime,Retro Glasses,None,V-Neck,Iron Jaw,Original,Covered,None,38.629462171057156,112
113,Doge,Orange,ScopeShot,None,Mechanized Collar,Grrrrr,Acid,Skeptical,None,52.169264205233404,113
114,Doggo,Beige,Sunglasses,Straw Hat,Iron Collar,Whistle,Spot,Covered,None,44.10138455382421,114
115,Doge,Lime,Sunglasses,None,Tie,Beauty,Spot,Covered,None,35.74780038571335,115
116,Doggo,Blue,None,Trapper Hat,None,Teeth Showing,Original,Eye Shadow,None,24.241951787223183,116
117,Doggo,Beige,Polarized,Spike Hair,Tropical Shirt,Tongue Out,Spot,Covered,None,44.39670764369451,117
118,Doge,Lime,Polarized,Nerdy Hair,None,Pizza,Giraffe,Covered,None,38.01004600057774,118
119,Doge,Lime,None,Sleeper Cap,Adventurer Jacket,Stick,Iceberg,Grumpy,Triple Gold Piercing,69.59916570456123,119
120,Doge,Gray,None,Helmet,Sweater,Original,Iceberg,Tired,None,24.418047268198407,120
121,Doggo,Lime,None,None,Stonks,Whistle,Tiger,Sad,Ruby Earring,58.455197124985624,121
122,Doggo,Red,None,Doge Cap,None,Original,Snow,Puppy Eyes,None,19.174247511705882,122
123,Doggo,Blue,Teashades,Propeller Hat,Mechanized Collar,Grrrrr,Pink,Covered,None,47.57828079448003,123
124,Doggo,Red,Monocle,None,Soviet Spacesuit,Smile,Spot,Focused,None,47.711499964719714,124
125,Doggo,Gray,None,Slouch Hat,None,Smile,Pink,Tired,None,19.250441133756024,125
126,Doge,Beige,Eyepatch,Fox Mask,Sweater,Grrrrr,Gray,Paranoid,None,61.87504158842528,126
127,Doggo,Green,Polarized,Helmet,None,Grrrrr,Original,Covered,None,34.70960962230606,127
128,Doge,Green,Polarized,None,Hoodie,Cavities,Original,Covered,Triple Gold Piercing,70.88408949732961,128
129,Doge,Beige,None,Wizard Hat,Tie,Smoking,Snow,Tired,None,29.933268950956844,129
130,Doge,Red,None,Miner Helmet,Sphere Necklace,Cavities,Coffee,Suspicious,None,32.37186392962389,130
131,Doggo,Purple,Retro Glasses,Stuntman Helmet,Gakuran,Bone,Acid,Covered,None,48.81178227354654,131
132,Doggo,Gray,None,Alpine Hat,Padded Vest,Stick,Black,Skeptical,None,31.043037905456515,132
133,Doggo,Purple,None,None,Varsity Jacket,Mouth Open,Blue,Puppy Eyes,Gold Earring,57.407373038652665,133
134,Doggo,Green,None,Trapper Hat,Gakuran,Frisbee,Coffee,Tired,Silver Piercing,63.38411607807583,134
135,Doge,Lime,None,Sakkat,Business Casual,Original,Blue,Scar,None,30.476361938008882,135
136,Doge,Beige,Sunglasses,Nerdy Hair,Padded Vest,Grrrrr,Tiger,Covered,None,44.453766057249396,136
137,Doge,Blue,None,Miner Helmet,Dog Collar,Tongue Out,Coffee,Tired,None,26.246866083438004,137
138,Doge,Purple,Eyepatch,Trapper Hat,Hoodie,Party Horn,Black,Focused,Triple Ruby Earring,92.60930411819085,138
139,Doggo,Beige,None,None,Sphere Necklace,Cavities,Pink,Skeptical,Triple Ruby Earring,58.3027208221078,139
140,Doggo,Lime,Sunglasses,Sailor Hat,Hoodie,Pipe,Chocolate,Covered,Gold Earring,82.20390735151119,140
141,Doggo,Purple,Polarized,None,Stonks,Whistle,Snow,Covered,None,34.814355540877074,141
142,Doge,Purple,Sunglasses,Tophat,Striped Tie,Teeth Showing,Wave,Covered,None,43.91561190610628,142
143,Doge,Gray,None,Newsboy,Padded Vest,Pizza,Blue,Eyelashes,Spike Piercing,70.06107717042073,143
144,Doge,Green,None,None,None,Tongue Out,Teal,Crying,None,16.3310652625582,144
145,Doggo,Beige,None,Halo,Bandana,Original,Tiger,Focused,None,25.29911818409519,145
146,Doge,Red,None,Doge Cap,None,Smile,Chocolate,Puppy Eyes,None,19.402947450921502,146
147,Doge,Red,Sunglasses,Miner Helmet,Bandana,Teeth Showing,Black,Covered,None,40.21503363406148,147
148,Doggo,Blue,None,Newsboy,Royal Cape,Stick,Blue,Scar,Spike Piercing,71.69447049126131,148
149,Doge,Purple,None,Helmet,Rider Jacket,Grrrrr,Gray,Crosseyed,None,33.35299151922218,149
150,Doge,Lime,None,Stuntman Helmet,None,Smile,Spot,Focused,None,19.531427335210566,150
151,Doggo,Blue,None,None,Varsity Jacket,Pierced,Chocolate,Focused,None,22.708182647341694,151
152,Doggo,Beige,None,Newsboy,None,Pizza,Green,Demon Eyes,None,27.018616151982812,152
153,Doggo,Beige,None,None,Dog Collar,Grrrrr,Acid,Crying,Tube Piercing,60.231585350358955,153
154,Doggo,Lime,3D Glasses,Spike Hair,Iron Collar,Beauty,Green,Covered,None,47.55445442252933,154
155,Doggo,Lime,None,Doge Cap,Tie,Clown,Cyborg,Skeptical,None,33.395803065973595,155
156,Doge,Blue,None,Plumber Hat,Sweater,Mouth Open,Acid,Focused,None,29.757013894105288,156
157,Doggo,Purple,Retro Glasses,Trench Helmet,Kimono,Original,Acid,Covered,None,45.95902431709391,157
158,Doggo,Beige,None,Doge Cap,Hoodie,Smoking,Giraffe,Crying,None,34.94371760106246,158
159,Doge,Lime,Monocle,Trapper Hat,Bandana,Golden Jaw,Blue,Focused,None,58.193742858317954,159
160,Doggo,Green,Polarized,Tophat,Adventurer Jacket,Mouth Open,Iceberg,Covered,None,42.396463067748,160
161,Doggo,Blue,None,Newsboy,Gakuran,Muzzle,Coffee,Paranoid,None,33.85780027053825,161
162,Doggo,Gray,None,Mohawk Hair,None,Whistle,Alien,Focused,None,24.47999974473662,162
163,Doggo,Purple,None,None,Rider Jacket,Smile,Teal,Focused,None,18.126413417685313,163
164,Doggo,Blue,None,None,None,Smile,Coffee,Crosseyed,Ruby Earring,45.829839510587185,164
165,Doge,Orange,3D Glasses,Unicorn Horn,Hoodie,Mouth Open,Chocolate,Covered,None,47.06380965895297,165
166,Doggo,Gray,None,Unicorn Horn,None,Original,Black,Paranoid,None,21.774876898980892,166
167,Doggo,Blue,Futuristic,Wizard Hat,Scientist Suit,Smile,Iceberg,Eye Shadow,None,58.49855115441945,167
168,Doge,Gray,None,Flatcap,Overlord Cape,Original,Coffee,Grumpy,None,29.157134482207393,168
169,Doge,Lime,None,Spike Hair,Tie,Tongue Out,Teal,Long Lashes,Triple Ruby Earring,67.32750252051815,169
170,Doggo,Spiral,Polarized,Baseball Cap,Adventurer Jacket,Original,Green,Covered,Ruby Earring,81.53717471596548,170
171,Doggo,Red,None,None,None,Party Horn,Gray,Focused,None,13.887474266995698,171
172,Doggo,Gray,None,Doge Cap,Scientist Suit,Original,Coffee,Puppy Eyes,None,25.275355639196412,172
173,Doge,Gray,None,Unicorn Horn,Scarf & T-shirt,Smile,Original,Suspicious,None,30.014354734743236,173
174,Doggo,Orange,Teashades,None,None,Mouth Open,Snow,Covered,Ruby Earring,63.56930240394622,174
175,Doge,Beige,None,None,Apollo Spacesuit,Mouth Open,Wave,Crying,None,25.918461959699616,175
176,Doge,Beige,Cyclops Sunglasses,Helmet,Striped Tie,Original,Blue,Covered,None,45.23035969910656,176
177,Doge,Blue,None,None,Adventurer Jacket,Cavities,Acid,Bloodshot,None,26.404248380541755,177
178,Doge,Purple,None,Sakkat,None,Underbit,Giraffe,Crosseyed,None,27.19492407530207,178
