,Number,Drip Grade,Core,Drip Score,Neck,Hair,Shirt,Eye Color,Eyes,Race,Background,Hat,Face Decoration,Glasses,Necklace,Earring,Rarity score,Token Id
86,86,c-drip,harajuku-gyaru,29,None,bowl slate,im cute im punk shirt,green,crying,black,sunrise,bandana,None,None,None,None,20.90335176613907,86
87,87,ss-drip,prep,46,None,short pink,sheep pullover,aqua,sleepy,pink,roadside,bean hat,star heart tattoo,None,None,double safety pins,53.34668889553331,87
88,88,normal,prep,18,None,bowl black,knit sweater,grey,sparkle,pink,sunset,None,None,None,None,loop chain earring,21.450517961197008,88
89,89,c-drip,hypebeast,26,None,bowl brown,silk shirt,blue,classic,clay,bushland,None,star heart tattoo,None,None,None,18.383233662425074,89
90,90,a-drip,lolita-prep,35,None,short pink,ulzzang coat,aqua,crying,pink,nagano,blue pink bow,None,None,None,None,25.756731126313877,90
91,91,a-drip,prep-hypebeast,36,None,short blue,football shirt,green,sparkle,clay,sonora,ivy cap,None,None,None,cherry earring,29.65816772315446,91
92,92,ss-drip,harajuku-gyaru,45,castle neck tattoo,braid green,heihei shirt,brown,heart eyes,clay,nagano,trucker im so,None,None,silver coin necklace,cherry earring,72.71123556418212,92
93,93,a-drip,gyaru,38,None,tuft purple,mwo shirt,aqua,sleepy,pink,clouds,workin cap,None,None,None,None,21.376147420098512,93
94,94,c-drip,hypebeast,28,None,short green,skull sweater,blue,sparkle,tan,sunset,None,None,None,None,cross earring,20.819264708997263,94
95,95,b-drip,prep-harajuku,33,None,tuft green,bear sweater,brown,classic,pink,harajuku,fez,None,None,None,strawberry earring,30.695163602948345,95
96,96,normal,gyaru,21,None,braid purple,special people shirt,green,sparkle,pale,bushland,None,None,None,None,None,0.4453581208688725,96
97,97,b-drip,prep-gyaru,34,None,bowl slate,blue sweatervest,leaf,classic,clay,bushland,white cowboy hat,None,larry glasses,milady beads,None,50.858424178796405,97
98,98,b-drip,prep,30,None,bowl brown,sheep pullover,brown,classic,clay,mountain,orange beret,None,None,None,None,11.510357786895797,98
99,99,a-drip,hypebeast,39,None,braid purple,bowling shirt,green,dilated,clay,sunset,None,milady pilled tattoo,None,coral cross necklace,None,37.680351552919014,99
100,100,normal,hypebeast-gyaru,23,None,braid brown,chore coat,green,sparkle,clay,clouds,trucker construction,None,None,None,None,11.284179102849468,100
101,101,b-drip,lolita-gyaru,31,None,braid purple,peter pan collar shirt,brown,dilated,clay,nagano,trucker hat 911,nose ring silver,None,None,None,30.49019525594627,101
102,102,normal,prep-hypebeast,25,None,braid black,meedles tracksuit,leaf,crying,pale,sonora,plaid bonnet,None,None,None,None,20.729526879794925,102
103,103,normal,hypebeast-gyaru,25,None,bowl blue,red puffer,green,sparkle,pale,roadside,trucker anime,None,None,None,strawberry earring,24.376030680374765,103
104,104,normal,prep-gyaru,20,None,tuft dark,blue sweatervest,blue,dilated,pale,sunrise,shy saints cap,None,None,cherry necklace,loop chain earring,40.58634474613017,104
