,head,background,body,hair,face,piercing,Rarity score,Token Id
145,gradient 2,light blue,white puffer,blue mohawk,3d glasses,None,12.65464118923712,145
146,orange,gradient 3,grey hoodie,blue mohawk,content,None,3.255940341269935,146
147,pale,gradient 2,navy sweater,blue mohawk,skeleton,None,8.604271586417777,147
148,med,gradient 3,orange collar,yellow toque,mad note,hoop,80.9803324865768,148
149,med,gradient 2,blue backpack,blue afro,content,None,3.647533626139834,149
150,green,yellow,orange collar,blue messy,happy,None,1.7230513843837207,150
151,yellow,grey,pink and green jacket,poopie,in love,None,5.202850912758097,151
152,pink,gradient 3,pink and white jacket,blue nerd,grumpy,None,2.6518279254249695,152
153,purple,gradient 4,combo 2 puffer,white bucket cap,happy,None,3.144077330044711,153
154,tan,grey,yellow turtleneck,beige bucket cap,holographic beard,pearl,78.53010325350375,154
155,gradient 1,grey,yellow puffer,holographic afro,surprised,None,9.40982716925262,155
156,pale,pink,yellow backpack,holographic afro,surprised,None,4.979065583606969,156
157,gradient 1,green,orange collar,beige bucket cap,content,None,8.73852600224872,157
158,green,gradient 3,pink sweater with satchel,yellow backwards cap,content,None,4.095207236206385,158
159,purple,gradient 4,yellow turtleneck,pink,chill cig,None,4.151054818367429,159
160,blue,gradient 4,white collar,pink toque,mustache,hoop,76.04626006445142,160
161,blue,yellow,pink and green jacket,green mullet,sunglasses,None,1.3426974420363371,161
162,green,gradient 2,navy sweater,purple alfalfa,sunglasses,None,2.4503455968901844,162
163,tan,fire,pink and green jacket,pink headband,in love,None,7.149748055053243,163
164,gradient 1,gradient 3,blue fleece,yellow bowlcut,skeleton,None,14.277024139285349,164
165,tan,gradient 3,combo 1 puffer,pink bucket cap,happy,None,2.46151668132432,165
166,med,holographic,pink puffer,blue afro,designer glasses,pearl,77.22109137581585,166
167,purple,yellow,blue turtleneck,poopie,designer glasses,airpod,82.02080532095518,167
168,orange,grey,combo 3 puffer,shaved,happy,None,1.1635505703815996,168
169,tan,pink,white sweater,blue brushcut,happy,None,0.5258521665825695,169
170,yellow,gradient 4,blue and yellow jacket,purple brushcut,designer glasses,None,3.5133273239867235,170
171,orange,blue,pink sweater with satchel,pink,grumpy,None,2.3720260461436795,171
172,orange,gradient 1,orange puffer,halo,grumpy,hoop,74.63657191962221,172
173,purple,green,pink and white jacket,helmet,default,None,3.6252116019305185,173
174,yellow,iridescent,blue fleece,pink long,sunglasses,None,5.6280402456153364,174
175,gradient 2,gradient 3,combo 1 puffer,green puffballs,blue beard,None,13.661680216704566,175
176,pink,gradient 3,light blue puffer,purple puffballs,content,None,3.31200053273759,176
177,tan,yellow,purple sweater with satchel,halo,3d glasses,None,8.626662992513946,177
178,blue,yellow,green blazer,purple alfalfa,cobain glasses,hoop,77.75807546851694,178
179,purple,gradient 2,pink and white jacket,green mullet,default,None,2.3831881809289728,179
180,orange,light blue,combo 2 puffer,green puffballs,neutral note,None,8.044847983133776,180
181,green,yellow,yellow backpack,green bowlcut,straw,None,4.945508693438417,181
182,purple,blue,pink backpack,beige bucket cap,default,None,2.8531245070137103,182
183,tan,gradient 2,yellow turtleneck,pink bucket cap,grumpy,None,2.7412234503413977,183
184,yellow,yellow,orange puffer,blue afro,happy,None,1.9356689863368655,184
185,tan,holographic,blue and yellow jacket,brown mullet,surprised,None,6.44480607741012,185
186,med,grey,white sweater,green mullet,in love,hoop,72.4884811405472,186
187,pink,gradient 2,purple chain,white bucket cap,content,None,6.243449069793574,187
188,pale,sky,white sweater,harley,sad note,None,15.049096686427237,188
189,rainbow,orange,spotted hoodie,None,aviators with cig,pearl,90.47902816521781,189
190,pale,gradient 1,yellow backpack,green puffballs,mad note,None,9.208499258427953,190
191,purple,gradient 4,pink and green jacket,pink headband,cobain glasses,None,6.51196909000696,191
192,med,pink,pink fleece,wizard,happy,None,4.251755702259604,192
193,pink,blue,purple sweater with satchel,purple alfalfa,default,None,1.9468658068490141,193
194,tan,orange,yellow puffer,shaved,chill cig,None,2.372012623160865,194
195,blue,space,yellow backpack,brown brushcut,mustache,None,9.398735530961549,195
196,pale,gradient 3,blue turtleneck,shaved,content,None,3.3902406370926217,196
197,orange,gradient 3,pink sweater with satchel,yellow bowlcut,mustache,airpod,81.77465096877268,197
198,med,gradient 1,striped sweater,green puffballs,content,None,3.356628916289849,198
199,purple,grey,purple sweater with satchel,yellow toque,content,None,3.8154109523186825,199
200,yellow,pink,pink and white jacket,yellow bowlcut,content,None,2.6517585532260353,200
201,pale,gradient 1,blue turtleneck,purple puffballs,designer glasses,pearl,73.69677535114307,201
202,purple,gradient 4,grey hoodie,yellow toque,default,None,3.647564957363026,202
203,tan,purple,combo 2 puffer,green bowlcut,in love,hoop,73.12616163685107,203
204,blue,green,blue turtleneck,halo,3d glasses,None,7.541335741548656,204
205,pale,gradient 3,white puffer,green brushcut,chill cig,None,4.654615173381974,205
206,green,space,yellow puffer,pink tidy,mad note,pearl,83.88925535293133,206
207,gradient 2,orange,combo 3 puffer,pink long,happy,None,6.73570406732282,207
208,purple,pink,pink hoodie,brown brushcut,sunglasses,None,3.1217060728304373,208
209,med,gradient 1,white puffer,blue afro,green beard,None,8.615466170759758,209
210,green,green,pink sweater with satchel,purple puffballs,surprised,None,1.5440824216526587,210
211,pale,pink,white puffer,brown brushcut,default,None,2.5063173866041364,211
212,med,gradient 4,holographic sweater,green brushcut,default,airpod,82.21101138432519,212
213,purple,gradient 4,orange collar,yellow bowlcut,sunglasses,hoop,73.04782642024456,213
214,tan,gradient 4,combo 3 puffer,purple puffballs,chill cig,None,3.6699675500234306,214
215,lit,blue,blue fleece,None,grumpy,None,12.095114637418128,215
216,tan,iridescent,pink fleece,viking,mustache,None,9.376340775329881,216
217,med,gradient 4,blue blazer,purple brushcut,pink beard,hoop,81.95369601867179,217
218,gradient 2,gradient 1,pink fleece,blue brushcut,cobain glasses,None,10.897982558626639,218
219,green,pink,white puffer,purple cap,sunglasses,hoop,72.68984262174611,219
220,pink,gradient 1,pink backpack,yellow headband,happy,None,1.7678688763411161,220
221,pink,green,navy sweater,pink headband,neutral note,None,7.5749172482196885,221
222,orange,green,spotted hoodie,purple long,in love,None,5.214001857004624,222
223,orange,purple,combo 3 puffer,brown mullet,sunglasses,None,2.55107893356835,223
224,med,gradient 3,combo 3 puffer,brown mullet,bandana,None,6.623826507825862,224
225,blue,gradient 3,navy sweater,purple long,sunglasses,hoop,72.48840617022219,225
226,orange,green,orange puffer,green puffballs,default,pearl,71.58223362471105,226
227,blue,holographic,green hoodie,green mullet,grumpy,pearl,75.72188014972701,227
228,blue,pink,green hoodie,blue mohawk,skeleton,None,7.3623018802010405,228
229,tan,purple,green hoodie,brown mullet,green beard,None,7.910544331316979,229
230,purple,gradient 2,yellow puffer,beige bucket cap,default,hoop,74.07716621811997,230
231,yellow,yellow,yellow puffer,pink,grumpy,None,2.562244420124817,231
232,med,light blue,blue fleece,blue mohawk,holographic beard,pearl,78.98877786542796,232
233,tan,iridescent,combo 3 puffer,green bowlcut,sunglasses,None,4.7888796599277415,233
234,pale,iridescent,white puffer,brown mullet,happy,None,4.7888427313236965,234
235,purple,grey,white turtleneck,wizard,blue check,airpod,87.31282238152454,235
236,med,gradient 1,yellow puffer,blue puffballs,skeleton,None,8.626636134624727,236
237,blue,pink,white collar,blue afro,3d glasses,pearl,77.7133788241438,237
238,tan,gradient 1,blue fleece,holographic afro,happy,None,4.095127787827646,238
239,gradient 1,iridescent,light blue puffer,beige bucket cap,rainbow puke,None,18.316222658664188,239
240,purple,gradient 2,blue backpack,green puffballs,bandana,None,6.500761081440126,240
241,blue,orange,white collar,green bowlcut,chill cig,None,2.5510968346048917,241
242,gradient 1,yellow,striped sweater,brown brushcut,aviators with mustache,hoop,84.9744617580512,242
243,pickle,pink,None,None,holographic beard,None,19.759105121348583,243
244,green,light blue,white sweater,brown mullet,default,None,1.409761990610526,244
245,purple,gradient 1,blue and yellow jacket,blue messy,aviators with mustache,None,9.846259200874895,245
246,blue,purple,combo 2 puffer,yellow headband,default,None,1.3538830717613106,246
247,green,yellow,green hoodie,yellow headband,holographic beard,None,8.324545799521115,247
248,pale,blue,rainbow striped sweater,purple puffballs,happy,None,4.609824538320167,248
249,orange,blue,blue backpack,blue nerd,default,airpod,78.709068856763,249
250,pale,holographic,pink and white jacket,beige bucket cap,neutral note,airpod,89.70701269084212,250
251,yellow,gradient 3,pink and white jacket,pink headband,cobain glasses,airpod,82.9941017165246,251
252,yellow,grey,pink sweater with satchel,blue puffballs,in love,None,2.662929634430865,252
253,pale,blue,pink and white jacket,blue messy,grumpy,None,2.4951664468289567,253
254,pale,gradient 4,white puffer,pink bucket cap,content,None,3.815436681441267,254
255,gradient 1,green,pink fleece,yellow headband,happy note,None,13.158110910053914,255
256,pink,orange,yellow backpack,pink tidy,designer glasses,None,2.394452133743764,256
257,orange,pink,pink hoodie,pink tidy,default,airpod,79.38038233462642,257
258,orange,green,grey hoodie,blue alfalfa,cobain glasses,None,5.2027636338092345,258
259,gradient 2,pink,pink and white jacket,blue nerd,aviators with mustache,pearl,83.83330370564066,259
260,tan,gradient 1,yellow puffer,purple cap,happy note,None,7.9664892683582815,260
261,pale,blue,pink fleece,pink long,straw,None,5.460209918755357,261
262,green,orange,blue and yellow jacket,blue nerd,cobain glasses,None,5.482517395934978,262
263,orange,gradient 3,purple sweater with satchel,holographic afro,content,None,5.594491192227112,263
264,pale,purple,grey hoodie,yellow headband,3d glasses,hoop,78.76505631283376,264
265,orange,green,blue and yellow jacket,green puffballs,holographic beard,None,8.223812469798379,265
266,blue,fire,white sweater,blue mohawk,default,pearl,75.26314735167131,266
267,tan,gradient 4,yellow puffer,pink,happy note,None,7.932903284378748,267
268,gradient 2,gradient 4,pink backpack,blue afro,sunglasses,None,7.552492274233343,268
269,orange,space,striped sweater,yellow headband,happy,hoop,77.65737906069123,269
270,tan,holographic,grey hoodie,yellow toque,in love,None,7.552486684304734,270
271,blue,light blue,pink and green jacket,blue nerd,happy,hoop,71.73882573384063,271
272,balloon,gradient 4,None,None,rainbow puke,None,19.915773311436006,272
273,yellow,gradient 3,yellow turtleneck,green brushcut,sunglasses,hoop,73.45060644894998,273
274,orange,yellow,white puffer,brown mullet,bandana,None,5.616823287896477,274
275,pink,gradient 2,pink hoodie,green brushcut,cobain glasses,pearl,76.76234627211717,275
276,med,orange,white collar,pink toque,happy,None,2.6069813461152047,276
277,pink,gradient 4,blue and yellow jacket,white bucket cap,green beard,None,9.331591541212457,277
278,yellow,holographic,combo 1 puffer,purple alfalfa,blue check,None,12.833677289735803,278
279,green,gradient 1,pink backpack,green puffballs,pink beard,None,8.313374713844938,279
280,lit,yellow,yellow backpack,None,happy,None,11.524408051019343,280
281,orange,grey,yellow turtleneck,purple long,grumpy,None,1.5104449660139148,281
282,pink,green,None,None,duck,None,9.957822315398767,282
283,popsicle,space,None,None,aviators with cig,None,24.178693386886746,283
284,gradient 2,gradient 1,white puffer,holographic brushcut,mustache,pearl,83.21791054806765,284
285,med,blue,striped sweater,blue alfalfa,chill cig,None,3.815401996956453,285
286,tan,holographic,yellow turtleneck,green brushcut,straw,pearl,79.1454203234119,286
287,blue,orange,blue backpack,blue puffballs,designer glasses,None,1.711930649052363,287
288,green,green,combo 2 puffer,blue alfalfa,grumpy,None,1.7566507925881107,288
