,Headgear,Offhand,Clothing,Mouth,Eyes,Type,Background,Hand,Special,Shoe,Face,Eyebrows,Rarity score,Token Id
161,Horns,None,None,Smile,Side Eye,Pinto Bean,Off White B,None,None,None,Big Glasses,None,24.996637851232727,161
162,None,Pencil,Jacket and Rainbow Scarf,Smile,Lashes,Jelly Bean,Off White C,None,None,None,None,Surprised,31.604656916592443,162
163,Straw Hat,Dumbbell,Black Business Attire,Drool,Focused,Jelly Bean,Off White B,None,None,None,None,None,27.935752117725592,163
164,Bean Baseball Cap,None,Kung Fu Suit,Nom,Confused,Black Bean,Red,None,None,None,Round Glasses,None,28.24873235136921,164
165,None,None,Open Black and Red Jacket,Wheat,Half-open,Red Bean,Red,None,None,None,None,Curious,19.3429408696126,165
166,Full Bandana,Match,White Qipao,Smile,Lightning,Black Bean,Off White D,None,None,None,None,None,25.71739409763596,166
167,Beanie,None,Yellow Puffer Jacket,Whistling,Cross-eyed,Blue Bean,Off White B,Shuriken,None,None,Big Glasses,None,40.7577526210795,167
168,None,Match,None,Closed,Half-open,Coffee Bean,Off White A,None,None,None,None,None,13.737977039295165,168
169,None,Banner,Oversized White T-shirt,Closed,Cross-eyed,Blue Bean,Off White D,None,None,None,None,Angry,30.333490363370558,169
170,Frog Bucket Hat,None,White Business Attire,Triangle,><,Red Bean,Dark Blue,None,None,None,None,None,15.370131746923802,170
171,None,None,Open Black and Red Jacket,D:,Stare,Black Bean,Off White D,None,Lightning,None,None,Concerned,34.775580420880104,171
172,Monkey King Crown,Monkey King Staff,Monkey King Vest,Open Smile,Dots,Golden Bean,Off White D,None,None,None,None,Angry,40.240441676633694,172
173,None,None,White Scrunched Hoodie,Open Smile,Dots,Pinto Bean,Off White D,None,Fireflies,None,None,Angry,34.44515201342524,173
174,Faux Fur Bucket Hat,Match,Faux Mink Coat,Triangle,Half-open,Coffee Bean,Cool Gray,None,Fireflies,Black Boots,Round Glasses,None,72.7297621502428,174
175,Soy Sauce Dish,None,Black Tactical Vest,Sleepy,Closed,Purple Bean,Off White C,None,None,None,None,None,13.311821994830883,175
176,Black Bucket Hat,None,Red Hoodie Zip-up,Bubble Gum,Sleep-deprived,Red Bean,Off White C,None,None,None,None,Thick,27.90440119457006,176
177,Spartan Helmet,None,None,Missing Tooth Grimace,Focused,Red Bean,Off White A,None,None,None,None,Bushy,26.006357155000025,177
