,Stamina,Special Set,Pet,Mask,Clothes,Eyes,Mouth,Antenna,Skin,Background,Class,Rarity score,Token Id
2292,1533.83,None,None,None,None,Party-Shades,Pipe,Flower-Red,Hollow-Poison,Attitude,Rare,15.439622086732157,2292
2293,988.47,None,None,None,None,Funky-Apple,Drooling,Lucky-Irish,Green,Mint-Fiddle,Common,7.492981119419034,2293
2294,937.02,None,None,None,None,Bored-Lizzard,Monster,Gel-Pink,Silver,Purple-Clouds,Common,4.528799486977913,2294
2295,925.63,None,None,None,None,Badboi-Shades,Robo-Teeth,Pointed-Beanie-Yellow,Silver,Khaki,Common,4.181435598047339,2295
2296,886.6,None,None,None,None,Party-Shades,Yellow-Gum,Flower-Red,Silver,Prussian,Common,2.324799296484107,2296
2297,897.0,None,None,None,None,Rainbow-Shades,Interesting,Chopper-Kid,Silver,Mauve,Common,2.541765287436401,2297
2298,933.03,None,None,None,None,In-Love,Interesting,Chocolate-Front-Flip,Rose,Grizzle,Common,4.311511809891188,2298
2299,1522.41,None,None,None,None,WTF,Yellow-Gum,Innocent-Tails,Gumball,Pigeon,Rare,14.603845246050573,2299
2300,933.03,None,None,None,None,Spaced-Out,Mr-Mustache,Beanie-Pink,Rose,Pink-Clouds,Common,4.713343370833634,2300
2301,959.85,None,None,None,None,Party-Shades,Happy-Fangs,Messy-Purple,Blue,Flamingo,Common,6.005610569957718,2301
2302,903.8,None,None,None,None,WTF,Smoke,Top-Hat-Grey,White,Apricot,Common,2.93212010771947,2302
2303,947.43,None,None,None,None,Funky-Apple,Displeased,Egg-Holder,Rose,Air-Force,Common,5.115000994573562,2303
2304,976.86,None,None,None,None,Sad,Blue-Gum,Flower-Blue,Green,Coin,Common,7.047854630613672,2304
2305,910.81,None,None,None,None,Pandas,Flabber,Flower-Blue,White,Green-Clouds,Common,3.4640322330771807,2305
2306,926.82,None,None,None,None,Provocative,Blue-Gum,Cap-Red,Rose,Electric,Common,4.203007020362471,2306
2307,1518.21,None,None,None,None,Rainbow-Shades,Dope,Cap-Purple,Hollow-Golden,Purple-Clouds,Rare,14.267158410052309,2307
2308,1543.42,None,None,None,None,Pandas,Krooked-Smile,Cap-White,Hollow-Golden,Carolina,Rare,15.656905445217392,2308
